,SCH_NAME,SCHOOL_YR,LEVEL_CODE,DIV_NUM,DIV_NAME,SCH_NUM,GRADE_CODE,FEDERAL_RACE_CODE,GENDER,DISABILITY_FLAG,LEP_FLAG,DISADVANTAGED_FLAG,PRIMARY_DISABILITY_TYPE,DEC1_CNT
202,Burnley-Moran Elementary,2010-2011,SCH,104.0,Charlottesville City ,70.0,PS,3.0,F,Y,N,Y,SLD,10
203,Burnt Chimney Elementary,2010-2011,SCH,33.0,Franklin County ,1320.0,02,5.0,F,Y,N,N,SLI,12
204,Bush Hill Elementary,2010-2011,SCH,29.0,Fairfax County ,680.0,04,3.0,M,Y,N,N,DD,11
205,Butts Road Intermediate,2010-2011,SCH,136.0,Chesapeake City ,860.0,03,5.0,F,Y,N,N,SLD,10
206,Butts Road Primary,2010-2011,SCH,136.0,Chesapeake City ,770.0,01,5.0,F,Y,N,N,AUT,12
207,Byrd Elementary,2010-2011,SCH,37.0,Goochland County ,120.0,04,3.0,M,Y,N,Y,SLD,11
208,C. Alton Lindsay Middle,2010-2011,SCH,112.0,Hampton City ,450.0,06,3.0,M,Y,N,Y,SLD,18
209,C. Hunter Ritchie Elementary,2010-2011,SCH,30.0,Fauquier County ,460.0,01,5.0,F,Y,N,N,DD,10
210,C.A. Sinclair Elementary,2010-2011,SCH,75.0,Prince William County ,620.0,01,4.0,M,Y,Y,Y,SLI,10
211,C.C. Wells Elementary,2010-2011,SCH,21.0,Chesterfield County ,50.0,01,5.0,M,Y,N,N,SLI,10
212,C.D. Hylton High,2010-2011,SCH,75.0,Prince William County ,710.0,09,3.0,M,Y,N,N,SLD,13
213,C.E. Curtis Elementary,2010-2011,SCH,21.0,Chesterfield County ,492.0,01,5.0,M,Y,N,N,SLI,11
214,C.M. Bradley Elementary,2010-2011,SCH,30.0,Fauquier County ,730.0,,5.0,F,Y,N,N,SLD,12
215,Callaghan Elementary,2010-2011,SCH,3.0,Alleghany County ,110.0,PS,5.0,F,Y,N,Y,SLI,10
216,Callaway Elementary,2010-2011,SCH,33.0,Franklin County ,350.0,03,5.0,F,Y,N,Y,SLI,10
217,Camelot Elementary,2010-2011,SCH,29.0,Fairfax County ,1940.0,02,5.0,F,Y,N,N,DD,11
