ï»¿Year,State,County,School_district ,City ,Number_reporting,School,Public/Private,Age,Total_enrolled,Total_complete,Total_exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No_record
2017,Minnesota,MARTIN,,,,,,MS,253,,,0,,,1,,,228,7,227,13,246,4,,,243,6,6,,,248,4,249,4,,,224,13,,,,,
2017,Minnesota,MCLEOD,,,,,,MS,462,,,0,,,5,,,447,11,436,16,454,8,,,449,13,15,,,452,10,453,9,,,444,14,,,,,
2017,Minnesota,MEEKER,,,,,,MS,280,,,0,,,5,,,262,11,253,17,273,7,,,269,9,10,,,272,8,270,10,,,263,12,,,,,
2017,Minnesota,MILLE LACS,,,,,,MS,470,,,1,,,9,,,407,14,443,20,442,14,,,453,15,16,,,454,16,456,14,,,392,17,,,,,
2017,Minnesota,MORRISON,,,,,,MS,552,,,0,,,3,,,508,14,531,18,542,8,,,544,6,6,,,543,8,544,7,,,504,11,,,,,
2017,Minnesota,MOWER,,,,,,MS,530,,,3,,,4,,,518,6,514,12,524,5,,,521,6,6,,,524,5,524,5,,,517,6,,,,,
2017,Minnesota,MURRAY,,,,,,MS,82,,,0,,,0,,,80,2,77,3,82,0,,,81,1,1,,,81,1,81,1,,,80,2,,,,,
2017,Minnesota,NICOLLET,,,,,,MS,248,,,0,,,0,,,243,4,245,3,245,2,,,245,3,3,,,244,3,245,3,,,241,4,,,,,
2017,Minnesota,NOBLES,,,,,,MS,348,,,0,,,2,,,335,5,336,3,343,2,,,345,2,2,,,346,2,344,2,,,333,6,,,,,
2017,Minnesota,NORMAN,,,,,,MS,86,,,0,,,1,,,81,2,79,4,84,1,,,82,3,3,,,84,1,84,1,,,79,3,,,,,
2017,Minnesota,OLMSTED,,,,,,MS,2029,,,0,,,11,,,1954,28,1958,24,1988,24,,,1993,21,22,,,1997,16,1987,16,,,1944,31,,,,,
2017,Minnesota,OTTER TAIL,,,,,,MS,632,,,0,,,12,,,547,15,571,23,596,18,,,598,17,18,,,603,14,599,14,,,533,16,,,,,
2017,Minnesota,PENNINGTON,,,,,,MS,184,,,0,,,2,,,180,3,180,4,181,3,,,181,3,3,,,182,2,180,3,,,180,3,,,,,
2017,Minnesota,PINE,,,,,,MS,327,,,0,,,6,,,308,11,307,12,317,8,,,316,10,10,,,315,10,312,10,,,304,12,,,,,
2017,Minnesota,PIPESTONE,,,,,,MS,142,,,0,,,0,,,72,1,125,2,135,1,,,129,4,4,,,129,2,126,3,,,67,4,,,,,
2017,Minnesota,POLK,,,,,,MS,471,,,0,,,8,,,438,10,450,11,456,10,,,457,10,10,,,458,8,458,8,,,436,11,,,,,
2017,Minnesota,POPE,,,,,,MS,85,,,0,,,0,,,75,0,82,0,85,0,,,84,0,0,,,85,0,85,0,,,75,0,,,,,
2017,Minnesota,RAMSEY,,,,,,MS,6926,,,5,,,78,,,6007,135,6472,187,6621,153,,,6648,145,159,,,6648,130,6648,133,,,5884,139,,,,,
2017,Minnesota,RED LAKE,,,,,,MS,62,,,0,,,1,,,60,2,59,2,61,1,,,60,2,2,,,61,1,60,2,,,60,2,,,,,
2017,Minnesota,REDWOOD,,,,,,MS,130,,,0,,,0,,,129,0,123,4,130,0,,,129,1,2,,,130,0,130,0,,,128,1,,,,,
2017,Minnesota,RENVILLE,,,,,,MS,197,,,1,,,3,,,178,18,191,5,191,4,,,191,4,5,,,192,4,192,4,,,174,20,,,,,
2017,Minnesota,RICE,,,,,,MS,790,,,1,,,8,,,762,24,745,32,751,25,,,763,26,27,,,768,21,767,20,,,753,31,,,,,
2017,Minnesota,ROCK,,,,,,MS,122,,,0,,,0,,,106,0,118,0,117,0,,,118,0,0,,,118,0,118,0,,,105,1,,,,,
2017,Minnesota,ROSEAU,,,,,,MS,196,,,0,,,1,,,191,4,186,4,195,1,,,192,3,3,,,195,1,195,1,,,189,4,,,,,
2017,Minnesota,SCOTT,,,,,,MS,2127,,,0,,,25,,,2055,69,2008,63,2078,44,,,2069,55,56,,,2078,43,2072,50,,,2045,77,,,,,
2017,Minnesota,SHERBURNE,,,,,,MS,1230,,,0,,,8,,,1185,44,1180,34,1215,15,,,1200,28,31,,,1208,22,1208,22,,,1182,46,,,,,
2017,Minnesota,SIBLEY,,,,,,MS,121,,,0,,,1,,,105,3,111,3,115,1,,,115,3,3,,,116,1,115,1,,,106,3,,,,,
2017,Minnesota,ST. LOUIS,,,,,,MS,1590,,,12,,,12,,,1460,34,1522,29,1558,24,,,1551,28,31,,,1554,27,1550,27,,,1448,40,,,,,
2017,Minnesota,STEARNS,,,,,,MS,2107,,,1,,,26,,,1904,57,1954,71,2012,57,,,2015,65,70,,,2012,57,2006,58,,,1872,59,,,,,
2017,Minnesota,STEELE,,,,,,MS,549,,,1,,,1,,,529,16,530,14,532,11,,,537,10,12,,,536,9,538,9,,,525,20,,,,,
2017,Minnesota,STEVENS,,,,,,MS,119,,,0,,,1,,,115,1,112,2,118,1,,,118,1,1,,,118,1,118,1,,,115,1,,,,,
2017,Minnesota,SWIFT,,,,,,MS,111,,,0,,,0,,,107,3,107,1,111,0,,,110,1,1,,,110,1,110,1,,,107,3,,,,,
2017,Minnesota,TODD,,,,,,MS,168,,,0,,,1,,,158,7,156,9,166,1,,,163,5,5,,,166,2,165,3,,,152,11,,,,,
2017,Minnesota,TRAVERSE,,,,,,MS,12,,,0,,,0,,,12,0,11,0,12,0,,,12,0,0,,,12,0,12,0,,,12,0,,,,,
2017,Minnesota,WABASHA,,,,,,MS,274,,,1,,,4,,,260,12,254,16,265,9,,,262,12,12,,,265,9,266,8,,,258,14,,,,,
2017,Minnesota,WADENA,,,,,,MS,269,,,0,,,13,,,238,28,220,17,250,15,,,251,16,16,,,250,18,252,16,,,234,32,,,,,
