ï»¿Year,State,County,School_district ,City ,Number_reporting,School,Public/Private,Age,Total_enrolled,Total_complete,Total_exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No_record
2012,Pennsylvania,Susquehanna,,,,,,KG,562,,,4,,,,0,6,0,,524,,548,,,,533,,,,,554,,546,,,,0,,,,,,
2012,Pennsylvania,Susquehanna,,,,,,MS,528,,,2,,,,0,7,485,,481,,525,,,,527,,,,,527,,385,,,,485,,,,,,
2012,Pennsylvania,Tioga,,,,,,KG,434,,,2,,,,0,10,0,,343,,403,,,,383,,,,,411,,400,,,,0,,,,,,
2012,Pennsylvania,Tioga,,,,,,MS,438,,,1,,,,0,8,375,,403,,433,,,,432,,,,,433,,433,,,,370,,,,,,
2012,Pennsylvania,Union,,,,,,KG,284,,,1,,,,0,4,0,,268,,278,,,,272,,,,,280,,275,,,,0,,,,,,
2012,Pennsylvania,Union,,,,,,MS,375,,,2,,,,0,17,296,,316,,351,,,,351,,,,,352,,352,,,,300,,,,,,
2012,Pennsylvania,Venango,,,,,,KG,683,,,4,,,,0,9,0,,608,,645,,,,606,,,,,659,,630,,,,0,,,,,,
2012,Pennsylvania,Venango,,,,,,MS,873,,,1,,,,0,17,784,,819,,860,,,,858,,,,,862,,862,,,,760,,,,,,
2012,Pennsylvania,Warren,,,,,,KG,350,,,1,,,,0,4,0,,303,,345,,,,306,,,,,345,,341,,,,0,,,,,,
2012,Pennsylvania,Warren,,,,,,MS,450,,,0,,,,0,26,387,,411,,425,,,,425,,,,,425,,425,,,,388,,,,,,
2012,Pennsylvania,Washington,,,,,,KG,2250,,,7,,,,0,37,0,,1864,,2045,,,,1866,,,,,2061,,2023,,,,0,,,,,,
2012,Pennsylvania,Washington,,,,,,MS,2373,,,18,,,,0,58,1751,,2155,,2338,,,,2332,,,,,2340,,2339,,,,1728,,,,,,
2012,Pennsylvania,Wayne,,,,,,KG,406,,,1,,,,0,12,0,,349,,392,,,,345,,,,,394,,393,,,,0,,,,,,
2012,Pennsylvania,Wayne,,,,,,MS,431,,,3,,,,0,11,303,,383,,420,,,,419,,,,,420,,419,,,,314,,,,,,
2012,Pennsylvania,Westmoreland,,,,,,KG,3912,,,13,,,,0,128,0,,3297,,3692,,,,3354,,,,,3741,,3575,,,,0,,,,,,
2012,Pennsylvania,Westmoreland,,,,,,MS,3996,,,18,,,,0,128,249,,3772,,3911,,,,3892,,,,,3914,,3909,,,,3334,,,,,,
2012,Pennsylvania,Wyoming,,,,,,KG,304,,,3,,,,0,6,0,,277,,291,,,,279,,,,,289,,288,,,,0,,,,,,
2012,Pennsylvania,Wyoming,,,,,,MS,310,,,3,,,,0,5,287,,279,,308,,,,307,,,,,309,,308,,,,291,,,,,,
2012,Pennsylvania,YorkÂ ,,,,,,KG,5416,,,31,,,,0,64,0,,4682,,5162,,,,4687,,,,,5232,,5014,,,,0,,,,,,
2012,Pennsylvania,York,,,,,,MS,5512,,,47,,,,0,72,4602,,5175,,5441,,,,5450,,,,,5471,,5463,,,,4594,,,,,,
