ï»¿Year,State,County,School District ,City ,Number Reporting,School,Public/Private,Age,Total_enrolled,Total_Complete,Total_Exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No Record
2017,Texas,Knox,,,,,,,774,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Lamar,,,,,,,8632,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Lamb,,,,,,,2966,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Lampasas,,,,,,,3630,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,La Salle,,,,,,,1380,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Lavaca,,,,,,,2439,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Lee,,,,,,,3093,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Leon,,,,,,,3200,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Liberty,,,,,,,16961,,,,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Limestone,,,,,,,3990,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Lipscomb,,,,,,,774,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Live Oak,,,,,,,1778,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Llano,,,,,,,1793,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Lubbock,,,,,,,50290,,,,,,659,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Lynn,,,,,,,1519,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Madison,,,,,,,2711,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Marion,,,,,,,1272,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Martin,,,,,,,1264,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Mason,,,,,,,728,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Matagorda,,,,,,,7150,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Maverick,,,,,,,14582,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Mcculloch,,,,,,,1470,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Mclennan,,,,,,,53735,,,,,,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Mcmullen,,,,,,,257,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Medina,,,,,,,10584,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Menard,,,,,,,315,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Midland,,,,,,,28817,,,,,,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Milam,,,,,,,4734,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Mills,,,,,,,1020,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Mitchell,,,,,,,1403,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Montague,,,,,,,3367,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Montgomery,,,,,,,110164,,,,,,2137,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Moore,,,,,,,4873,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Morris,,,,,,,1917,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Motley,,,,,,,172,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Nacogdoches,,,,,,,11160,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Navarro,,,,,,,9984,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Newton,,,,,,,1860,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Nolan,,,,,,,3237,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Nueces,,,,,,,61879,,,,,,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Ochiltree,,,,,,,2224,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Oldham,,,,,,,936,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Orange,,,,,,,14884,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Palo Pinto,,,,,,,4573,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
