Year,State,County,School_districtÂ ,CityÂ ,Number_reporting,School,Public/Private,Age,Total_enrolled,Total_complete,Total_exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No_record
2017,Tennessee,Giles,,,,,,KG,283,272,,2,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,0
2017,Tennessee,Grainger ,,,,,,KG,233,228,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,0
2017,Tennessee,Greene ,,,,,,KG,647,633,,0,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,0
2017,Tennessee,Grundy ,,,,,,KG,141,134,,1,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,0
2017,Tennessee,Hamblen,,,,,,KG,764,729,,2,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,0
2017,Tennessee,Hamilton,,,,,,KG,4162,3923,,4,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,35
2017,Tennessee,Hancock,,,,,,KG,70,70,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
2017,Tennessee,Hardeman,,,,,,KG,272,271,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
2017,Tennessee,Hardin,,,,,,KG,293,289,,0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,0
2017,Tennessee,Hawkins ,,,,,,KG,537,524,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,0
2017,Tennessee,Haywood ,,,,,,KG,210,185,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0
