Year,RCDTS,Enrollment ,PBE,PME
2013-2014,150162990250831,282,0,1
2013-2014,150162990252169,508,1,4
2013-2014,150162990252172,349,3,7
2013-2014,150162990252173,206,0,1
2013-2014,150162990252175,787,4,3
2013-2014,150162990250531,1141,0,0
2013-2014,150162990252177,299,1,3
2013-2014,150162990252933,588,0,1
2013-2014,150162990252179,542,0,3
2013-2014,150162990250798,78,0,0
2013-2014,150162990252743,257,3,0
2013-2014,150162990252180,538,0,4
2013-2014,150162990252181,1607,0,0
2013-2014,150162990252182,736,11,0
2013-2014,150162990252183,506,3,2
2013-2014,150162990252184,277,3,0
2013-2014,150162990252953,468,3,0
2013-2014,150162990252185,1518,0,0
2013-2014,150162990252187,743,1,2
2013-2014,15016299025015C,476,0,6
2013-2014,150162990252190,483,3,1
2013-2014,15016299025219C,421,0,0
2013-2014,150162990252191,353,0,0
2013-2014,150162990252192,256,0,0
2013-2014,150162990252873,388,0,0
2013-2014,150162990252193,391,3,0
2013-2014,150162990252913,593,0,1
2013-2014,150162990252194,1440,0,1
2013-2014,150162990252195,353,0,4
2013-2014,150162990252198,592,7,1
2013-2014,150162990250011,1068,0,3
2013-2014,150162990250012,409,1,2
2013-2014,150162990252202,320,0,0
2013-2014,150162990252203,369,2,1
2013-2014,150162990252893,518,0,0
2013-2014,150162990252204,504,2,2
2013-2014,15016299025011C,172,0,1
2013-2014,150162990250013,1458,0,0
2013-2014,150162990252206,428,6,1
2013-2014,150162990252618,398,0,0
2013-2014,150162990252207,370,5,1
2013-2014,150162990252945,259,0,0
2013-2014,150162990252209,309,0,0
2013-2014,150162990252210,482,1,0
2013-2014,150162990252211,586,0,0
2013-2014,150162990250015,593,2,0
2013-2014,15016299025220C,338,0,1
2013-2014,150162990252212,448,0,0
2013-2014,150162990252878,557,1,1
