Year,RCDTS,Enrollment,PME,PBE
2009-2010,440630500262004,205,0,0
2009-2010,470712310042001,349,0,0
2009-2010,500821040022001,357,0,1
2009-2010,560992020222003,860,1,4
2009-2010,010010030262003,166,0,0
2009-2010,030250400262002,545,0,0
2009-2010,090100040260002,1315,0,6
2009-2010,310453010260001,1070,0,1
2009-2010,320380040260001,378,0,0
2009-2010,530900510022001,515,1,1
2009-2010,140161240021001,469,1,1
2009-2010,210281680261002,370,0,0
2009-2010,500821180021012,419,1,0
2009-2010,530900860021011,636,0,3
2009-2010,280372290261001,256,1,0
2009-2010,010010030261001,286,0,4
2009-2010,140161460041001,790,0,0
2009-2010,310453010261001,419,0,1
2009-2010,140161430022001,715,0,0
2009-2010,530900510022004,515,4,2
2009-2010,140160150042003,600,0,3
2009-2010,140160350021001,631,1,1
2009-2010,14016113A022003,316,0,1
2009-2010,130582000170001,1024,1,1
2009-2010,130581350021001,424,0,0
2009-2010,130581350023001,52,0,0
2009-2010,020771000262004,285,0,15
2009-2010,020771000260001,187,0,10
2009-2010,140161350021006,789,0,1
2009-2010,310450460222010,533,3,0
2009-2010,390741000262003,301,0,1
2009-2010,390741000260001,175,0,0
2009-2010,390741000261001,153,0,0
2009-2010,080083990262001,85,0,1
2009-2010,080083990261001,112,0,1
2009-2010,550980050261006,807,0,2
2009-2010,150162990252128,252,7,0
2009-2010,090100040263016,341,0,0
2009-2010,560990880022002,310,0,1
2009-2010,560990170021001,388,2,0
2009-2010,310450460222011,686,0,1
2009-2010,150162990252129,443,2,0
2009-2010,480721500251009,333,1,0
2009-2010,340491090021006,532,0,1
2009-2010,140161100022002,456,0,0
2009-2010,560992020222015,800,1,7
2009-2010,11015026X260000,37,1,4
2009-2010,11015027Y260000,13,2,1
2009-2010,110150010260001,856,0,2
2009-2010,110150010261002,437,0,1
2009-2010,480721500252051,323,0,2
2009-2010,150162990252130,517,0,0
2009-2010,140161440022009,405,0,2
2009-2010,510840050262004,725,1,5
2009-2010,170530080262006,141,0,0
2009-2010,440630150041008,532,1,1
2009-2010,150162990252886,864,1,0
2009-2010,320380040262003,396,2,1
2009-2010,14016078X050000,234,0,25
2009-2010,01001012P003101,40,0,0
2009-2010,170530080262001,173,0,2
2009-2010,34049014P003101,40,0,0
2009-2010,340490670052001,387,0,0
2009-2010,280060920022001,58,0,0
2009-2010,560991220022011,309,0,7
2009-2010,041012050252020,238,0,1
2009-2010,440631580222003,1073,2,8
2009-2010,160194280262004,264,0,0
2009-2010,450791390262002,659,0,0
2009-2010,450791390260001,353,0,0
2009-2010,19022169X010000,80,0,0
2009-2010,19022167Z010000,61,0,0
2009-2010,19022172X010000,75,0,0
2009-2010,19022173X010000,62,0,0
2009-2010,19022174X010000,83,0,0
2009-2010,19022170X010000,85,0,0
2009-2010,380540610042001,310,0,0
2009-2010,14016100X160000,302,8,13
2009-2010,150162990250850,143,0,0
2009-2010,150162990252920,590,1,1
2009-2010,14016796Y010000,138,0,0
2009-2010,150162990250820,492,0,0
2009-2010,14016215X250000,96,0,0
2009-2010,14016007Y030000,388,1,3
2009-2010,14016333X160000,15,0,0
2009-2010,14016994X010000,261,0,0
2009-2010,150162990250801,386,0,0
2009-2010,14016987Z010000,175,0,0
2009-2010,150162990250772,597,0,0
2009-2010,150162990250851,146,0,0
2009-2010,15016299025201C,8009,2,13
2009-2010,14016397X100000,83,0,0
2009-2010,15016299025217C,598,0,0
2009-2010,150162990250795,500,0,0
2009-2010,14016686Z110000,57,0,0
2009-2010,150162990250852,95,0,0
2009-2010,15016299025225C,553,0,14
2009-2010,150162990250816,262,0,0
2009-2010,150162990250526,1433,1,0
2009-2010,14016900X030000,154,0,2
2009-2010,14016320Y050000,156,0,0
2009-2010,170640050261002,858,0,4
2009-2010,53090005X010000,16,0,0
2009-2010,14016962X100000,207,0,0
2009-2010,34049095X160000,56,0,0
2009-2010,44063044X160000,37,2,4
2009-2010,34049109X160000,50,0,0
2009-2010,31045090X160000,48,1,2
2009-2010,14016788X160000,15,0,0
2009-2010,14016244X160000,104,1,1
2009-2010,14016213X160000,41,0,0
2009-2010,140161435022001,191,0,0
2009-2010,19022048P003101,27,0,0
2009-2010,480723210262008,248,0,1
2009-2010,480723210261002,240,0,2
2009-2010,140161280022002,224,0,0
2009-2010,190220020022002,369,0,2
2009-2010,140160620041003,695,0,0
2009-2010,150162990252155,298,0,0
2009-2010,110230060262003,147,0,0
2009-2010,110230060260001,130,0,0
2009-2010,110230060261001,106,0,0
2009-2010,56099115Y060000,22,0,1
2009-2010,32038007Y060000,26,0,0
2009-2010,14016153X060000,24,0,0
2009-2010,30039001X060000,35,0,0
2009-2010,55098012X060000,113,3,1
2009-2010,13014011Y060000,73,0,0
2009-2010,14016399X100000,135,1,0
2009-2010,45079011Y060000,25,0,0
2009-2010,14016455X100000,150,0,0
2009-2010,14016348X100000,318,1,0
2009-2010,51084003X100000,486,0,0
2009-2010,14016763X060000,17,0,0
2009-2010,19022002X100000,32,0,0
2009-2010,04101028P003101,39,1,0
2009-2010,140161400022006,486,1,5
2009-2010,30073007Z140000,107,0,0
2009-2010,14016675X260000,451,3,9
2009-2010,14016337X250000,162,21,0
2009-2010,14016171Z140000,839,0,48
2009-2010,17064009X140000,38,0,2
2009-2010,04101032Z140000,738,1,15
2009-2010,150162990252904,269,0,0
2009-2010,210280990260001,853,1,0
2009-2010,190220410022003,701,2,6
2009-2010,240473080262012,706,0,5
2009-2010,330482050261021,588,1,1
2009-2010,190222050261002,440,3,1
2009-2010,140160650041002,544,1,6
2009-2010,140160990022002,888,0,0
2009-2010,140160990022014,1124,0,0
2009-2010,240471150262002,558,1,5
