Year,RCDTS,Enrollment,PBE,PME
2007-2008,140161170022002,568,2,2
2007-2008,140160570022002,567,2,2
2007-2008,140161510021001,571,2,0
2007-2008,140160380022001,590,2,2
2007-2008,140161020021004,606,3,0
2007-2008,140164010262004,606,2,0
2007-2008,140160540041020,615,2,2
2007-2008,140160540042002,651,2,0
2007-2008,140161030022007,690,2,0
2007-2008,140161090022004,689,2,0
2007-2008,140161630021010,701,2,1
2007-2008,140161400021003,716,2,2
2007-2008,140160150042008,733,2,0
2007-2008,140160150042006,736,2,7
2007-2008,140160150042015,749,2,0
2007-2008,140160150042007,762,2,0
2007-2008,140160640041007,767,1,0
2007-2008,140160150042009,771,3,0
2007-2008,140160640041006,803,2,3
2007-2008,140160700022003,836,2,1
2007-2008,140160210041002,846,2,2
2007-2008,140160250021014,860,2,0
2007-2008,140161170021001,875,2,0
2007-2008,140162030170002,1025,2,1
2007-2008,140161610021003,1031,2,3
2007-2008,140162280160004,1497,2,0
2007-2008,140162270170002,1625,2,0
2007-2008,140162150170001,1693,1,2
2007-2008,140162180160004,1768,2,7
2007-2008,140162120160001,1821,1,1
2007-2008,140162190170003,2536,2,4
2007-2008,140162010170002,3515,2,1
2007-2008,140160910022003,230,3,0
2007-2008,140160650042019,296,3,0
2007-2008,140161480022010,313,3,0
2007-2008,140160590042020,315,3,0
2007-2008,140161470022007,340,3,0
2007-2008,140160620042004,337,3,0
2007-2008,140161480022005,341,3,0
2007-2008,140161230022008,344,3,0
2007-2008,140160650042023,348,3,1
2007-2008,140161240022005,349,3,1
2007-2008,140160960022003,356,3,0
2007-2008,140161470022004,380,3,0
2007-2008,140160540042028,379,3,2
2007-2008,140160970022001,388,2,2
2007-2008,140161350022002,392,3,1
2007-2008,140160360022001,399,4,1
2007-2008,140160740022004,407,3,0
2007-2008,140161420022004,410,4,0
2007-2008,140160650042014,423,4,1
2007-2008,140160540042032,444,3,3
2007-2008,140160280022003,450,3,1
2007-2008,140160210042007,451,3,0
2007-2008,140160540042010,499,5,2
2007-2008,140161350022007,492,3,1
2007-2008,140160970022007,502,3,0
2007-2008,140160730022001,505,3,0
2007-2008,140160950022002,512,4,0
2007-2008,140161620022001,518,3,0
2007-2008,140160150042023,524,2,3
2007-2008,140160540042019,544,3,2
2007-2008,140161350022012,540,3,1
2007-2008,140160540042027,556,4,2
2007-2008,140160150042003,563,3,2
2007-2008,140160390022002,575,3,3
2007-2008,140160540042003,599,3,1
2007-2008,140161400022007,627,3,6
2007-2008,140160150042001,623,3,1
2007-2008,140160540042029,636,2,4
2007-2008,140161220022003,647,3,0
2007-2008,140160540041019,667,3,1
2007-2008,140161430022002,687,3,0
2007-2008,140161350022013,708,3,1
2007-2008,140161180041004,729,2,1
2007-2008,140160970021003,818,3,0
2007-2008,140162310160001,942,2,6
2007-2008,140162050170002,1871,3,0
2007-2008,140162140170002,2036,4,14
2007-2008,140162180160007,2079,3,0
2007-2008,140162110170006,2175,3,2
2007-2008,140162110170001,2493,3,0
2007-2008,140160910022001,138,4,0
2007-2008,140160650042009,277,4,1
2007-2008,140160290022002,301,5,0
2007-2008,140161010022001,308,4,0
2007-2008,140161590022005,324,4,0
2007-2008,140160650042004,363,5,4
2007-2008,140160540042006,396,5,5
2007-2008,140161230022010,394,4,1
2007-2008,140161010022005,402,4,1
2007-2008,140160970022010,420,4,1
2007-2008,140160540042008,430,5,4
2007-2008,140160350022002,434,4,2
2007-2008,140160960021004,449,4,0
2007-2008,140160250022002,462,4,0
2007-2008,140160540042009,505,5,1
2007-2008,140160540042023,518,4,2
2007-2008,140161400022006,525,3,2
2007-2008,140160570022005,564,5,2
2007-2008,140160150042010,580,4,1
2007-2008,140161570022001,620,4,0
2007-2008,140161530022005,593,4,0
2007-2008,140160650041007,635,4,2
2007-2008,140161620021004,687,3,0
2007-2008,140160570021004,694,4,4
2007-2008,140160340041006,716,4,0
2007-2008,140161400021004,832,5,3
2007-2008,140160250021015,885,4,1
2007-2008,140161490021003,1065,4,0
2007-2008,140162280160002,1165,6,1
2007-2008,140162190170002,2207,4,0
2007-2008,140162300130002,2528,4,0
2007-2008,140162250170002,2592,0,1
2007-2008,140162090170002,2708,4,0
2007-2008,140162110170003,2665,4,1
2007-2008,140161070021001,345,5,1
2007-2008,140160650042024,351,5,0
2007-2008,140161490022010,513,5,0
2007-2008,140160650041002,545,5,0
2007-2008,140160540042007,574,4,4
2007-2008,140160640042012,614,4,1
2007-2008,140160640042004,630,5,2
2007-2008,140160970021004,869,6,0
2007-2008,140162180160001,1849,5,0
2007-2008,140162140170005,2118,5,7
2007-2008,140162140170008,2196,4,1
2007-2008,140162070170003,2655,8,6
2007-2008,140162050170001,2783,5,1
2007-2008,140162300130001,3748,5,22
2007-2008,140160650042021,347,6,1
2007-2008,140160540042015,468,7,9
2007-2008,140160150042004,573,6,1
2007-2008,140161060022001,579,7,3
2007-2008,140161020022002,649,7,0
2007-2008,140160640042011,700,6,0
2007-2008,140162100170001,1467,6,0
2007-2008,140162070170004,2284,3,7
2007-2008,140160650042020,441,8,1
2007-2008,140161180042003,505,7,1
2007-2008,140161020022007,660,9,0
2007-2008,140161180042002,683,7,1
2007-2008,140162300130003,2617,5,15
2007-2008,140162110170002,2867,9,0
2007-2008,140160620042002,266,9,1
2007-2008,140160970022006,366,8,0
2007-2008,140162080170001,1493,8,8
2007-2008,140162000130001,3176,8,2
2007-2008,140160250022011,436,9,4
2007-2008,140162040170001,3845,11,3
2007-2008,140160650042022,535,10,2
2007-2008,140162050170003,2429,12,2
2007-2008,140162330160001,2940,13,2
2007-2008,140160970022008,545,14,0
2007-2008,140162020170001,3020,17,0
2007-2008,140162030170001,3151,16,0
2007-2008,140160650043017,20,0,0
2007-2008,140160640043001,28,0,1
2007-2008,140162140173006,31,0,0
2007-2008,140162140173004,32,0,0
2007-2008,140161270023001,38,0,0
2007-2008,140162110173001,37,0,0
2007-2008,140162110173002,41,0,0
2007-2008,140161330022002,63,0,0
2007-2008,140162060173001,71,0,0
2007-2008,140162140173001,77,0,0
2007-2008,140161580023001,86,0,0
2007-2008,140161090022007,87,0,0
2007-2008,140162140173005,96,0,0
2007-2008,140162180163001,97,0,0
2007-2008,140161300022020,100,0,0
2007-2008,140160960022005,112,0,0
2007-2008,140161440022001,180,0,0
2007-2008,140161300022004,148,0,0
2007-2008,140161230022011,150,0,0
2007-2008,140161040022001,158,0,0
2007-2008,140161700022013,171,0,0
2007-2008,140161280022005,162,0,0
2007-2008,140161700022006,169,0,0
2007-2008,140160910022004,164,0,0
2007-2008,140161040022004,185,0,0
2007-2008,140160840022003,187,0,1
2007-2008,140160880023001,204,0,0
2007-2008,140161050022004,195,0,0
2007-2008,140161630022001,197,0,0
2007-2008,140161520023001,203,0,0
2007-2008,140161700023001,205,0,0
2007-2008,140161300022019,217,0,0
2007-2008,140161440022004,369,0,1
2007-2008,140160270022001,216,0,1
2007-2008,140161440022007,284,0,0
2007-2008,140161480021004,220,0,0
2007-2008,140161440022003,288,0,0
2007-2008,140160810022003,229,0,0
2007-2008,140161500022002,233,0,0
2007-2008,140161250021001,234,0,0
2007-2008,140161300022010,241,0,0
2007-2008,140161450022002,245,0,1
2007-2008,140160990022012,236,0,0
2007-2008,140161050022002,243,0,0
2007-2008,140161050021001,244,0,0
2007-2008,140161630022008,247,0,1
2007-2008,140161630022007,251,0,0
2007-2008,140160370021001,258,0,1
2007-2008,140161590022002,266,0,0
2007-2008,140161700022012,262,0,0
2007-2008,140161300022008,270,0,0
2007-2008,140161700022001,262,0,0
2007-2008,140160990022007,260,0,0
2007-2008,140161010022002,264,0,0
2007-2008,140160780022001,264,0,2
2007-2008,140161300022012,272,0,0
2007-2008,140161460042004,265,0,0
2007-2008,140160670022003,267,0,0
2007-2008,140161030022004,268,1,0
2007-2008,140161690021001,270,0,0
2007-2008,140161280022002,271,1,0
2007-2008,140161030022002,275,0,0
2007-2008,140161670022001,272,0,0
2007-2008,140161440022005,350,0,0
2007-2008,140160270022004,276,0,0
2007-2008,140161270022004,279,0,0
2007-2008,140161700021001,285,0,0
2007-2008,140161480022003,283,0,0
2007-2008,140160620042011,293,0,1
2007-2008,140161450022004,291,0,1
2007-2008,140161240022003,294,1,3
2007-2008,140160840022004,292,0,0
2007-2008,140161670021002,293,0,0
2007-2008,140160680022001,299,0,0
2007-2008,140160270022002,299,0,2
2007-2008,140161110022002,302,0,1
2007-2008,140161450022003,316,0,0
2007-2008,140161700022008,307,0,1
2007-2008,140161700022009,309,0,0
2007-2008,140161520022008,310,0,0
2007-2008,140161260022001,313,0,1
2007-2008,140161480021003,313,0,0
2007-2008,140161000022007,314,0,0
2007-2008,140161080022001,315,0,0
2007-2008,140161030022008,317,0,1
2007-2008,140160590042006,322,0,0
2007-2008,140161000022001,323,0,0
2007-2008,140161330022001,326,0,0
2007-2008,140160280022002,324,1,0
2007-2008,140161490022006,337,0,0
2007-2008,140161490022009,327,0,0
2007-2008,140160620042009,324,0,0
2007-2008,140161480022006,326,0,0
2007-2008,140161440022010,488,0,1
2007-2008,140161510022002,326,0,0
2007-2008,140161570021001,328,0,0
2007-2008,140160230022001,332,0,2
2007-2008,140161700022011,333,0,0
2007-2008,140160880022008,345,0,0
2007-2008,140160680022005,334,0,0
2007-2008,140160210042011,336,0,2
2007-2008,140161230022006,345,0,0
2007-2008,140160990022009,336,0,0
2007-2008,140161490022002,349,0,0
2007-2008,140161580022006,339,0,0
2007-2008,140160310021001,338,0,0
2007-2008,140161940022005,341,0,0
2007-2008,140161510022004,342,0,0
2007-2008,140160680022004,346,0,0
2007-2008,140161320022002,372,0,0
2007-2008,140161170023001,346,1,1
2007-2008,140160590042014,350,0,2
2007-2008,140160630022010,347,0,0
2007-2008,140160300021001,351,0,0
2007-2008,140160810021001,350,0,0
2007-2008,140161220022002,351,0,0
2007-2008,140161630022002,353,0,0
2007-2008,140161110022007,357,0,0
2007-2008,140160890022012,364,0,0
2007-2008,140161270021005,360,0,0
2007-2008,140161460042005,361,0,0
2007-2008,140161110022010,363,0,3
2007-2008,140161670022004,364,0,0
2007-2008,140161590022004,367,0,0
2007-2008,140160360022003,368,0,3
2007-2008,140160590042002,369,0,0
2007-2008,140160590042008,372,0,1
2007-2008,140161320022001,381,0,0
2007-2008,140161300021002,379,0,0
2007-2008,140161610022001,372,1,1
2007-2008,140161670022003,373,0,0
2007-2008,140160590042018,378,0,0
2007-2008,140161270022001,376,0,0
2007-2008,140161230022003,378,0,0
2007-2008,140161260021005,380,0,1
2007-2008,140160300022003,382,0,0
2007-2008,140160870022003,382,0,0
2007-2008,140160540042005,393,0,2
2007-2008,140160880022006,404,0,0
2007-2008,140160590042016,395,0,0
2007-2008,140160790022001,394,0,0
2007-2008,140161440022009,481,0,0
2007-2008,140160630022011,397,0,0
2007-2008,140161470022006,408,0,0
2007-2008,140160630022009,405,0,0
2007-2008,140160890022005,402,0,0
2007-2008,140160840022005,405,0,2
2007-2008,140161230022007,406,1,0
2007-2008,140160880022005,411,0,0
2007-2008,140161110022006,408,0,1
2007-2008,140161300023001,433,0,3
2007-2008,140161720022001,411,0,0
2007-2008,140161500021005,411,0,0
