,Year,State,FIPS,Age,Total_enrolled,PBE_total,PBE_total-philosophy,PBE_total-religion,MED_EXEMPT,NME_EXEMPT,TOT_EXEMPT,TOT_EXEMPT_RATE,MED_EXEMPT_RATE,NME_EXEMPT_RATE,RELIG_RATE,PHILOS_RATE,PERTUSSIS_EXEMPT,PERTUSSIS_EXEMPT_RATE,VARICELLA_EXEMPT,VARICELLA_EXEMPT_RATE,FLU_EXEMPT,FLU_EXEMPT_RATE,MEASLES_EXEMPT,MEASLES_EXEMPT_RATE,linestyle
60,2001.0,California,06005,KG,345.0,7.0,0.0,0.0,0.0,7.0,7.0,0.020289855072463767,0.0,0.020289855072463767,0.0,0.0,9.0,0.02608695652173913,11.0,0.03188405797101449,0.0,0.0,12.0,0.034782608695652174,0
61,2001.0,California,06007,KG,2508.0,71.0,0.0,0.0,12.0,71.0,83.0,0.033094098883572565,0.004784688995215311,0.028309409888357256,0.0,0.0,150.0,0.05980861244019139,142.0,0.05661881977671451,0.0,0.0,152.0,0.06060606060606061,0
62,2001.0,California,06009,KG,399.0,24.0,0.0,0.0,0.0,24.0,24.0,0.06015037593984962,0.0,0.06015037593984962,0.0,0.0,26.0,0.06516290726817042,26.0,0.06516290726817042,0.0,0.0,29.0,0.07268170426065163,0
63,2001.0,California,06011,KG,322.0,1.0,0.0,0.0,1.0,1.0,2.0,0.006211180124223602,0.003105590062111801,0.003105590062111801,0.0,0.0,7.0,0.021739130434782608,7.0,0.021739130434782608,0.0,0.0,7.0,0.021739130434782608,0
64,2001.0,California,06013,KG,13544.0,149.0,0.0,0.0,27.0,149.0,176.0,0.01299468399291199,0.001993502658003544,0.011001181334908447,0.0,0.0,489.0,0.03610454813939752,383.0,0.028278204370939163,0.0,0.0,507.0,0.03743354991139988,0
65,2001.0,California,06015,KG,298.0,1.0,0.0,0.0,0.0,1.0,1.0,0.003355704697986577,0.0,0.003355704697986577,0.0,0.0,6.0,0.020134228187919462,4.0,0.013422818791946308,0.0,0.0,6.0,0.020134228187919462,0
66,2001.0,California,06017,KG,2059.0,79.0,0.0,0.0,6.0,79.0,85.0,0.0412821758135017,0.0029140359397765905,0.03836813987372511,0.0,0.0,117.0,0.05682370082564352,148.0,0.0718795531811559,0.0,0.0,131.0,0.06362311801845556,0
67,2001.0,California,06019,KG,14320.0,115.0,0.0,0.0,15.0,115.0,130.0,0.009078212290502794,0.001047486033519553,0.00803072625698324,0.0,0.0,388.0,0.027094972067039105,331.0,0.023114525139664804,0.0,0.0,298.0,0.020810055865921787,0
68,2001.0,California,06021,KG,418.0,3.0,0.0,0.0,0.0,3.0,3.0,0.007177033492822967,0.0,0.007177033492822967,0.0,0.0,7.0,0.01674641148325359,16.0,0.03827751196172249,0.0,0.0,9.0,0.0215311004784689,0
69,2001.0,California,06023,KG,1371.0,69.0,0.0,0.0,4.0,69.0,73.0,0.05324580598103574,0.0029175784099197666,0.05032822757111598,0.0,0.0,141.0,0.10284463894967177,143.0,0.10430342815463166,0.0,0.0,135.0,0.09846827133479212,0
70,2001.0,California,06025,KG,2457.0,6.0,0.0,0.0,1.0,6.0,7.0,0.002849002849002849,0.000407000407000407,0.002442002442002442,0.0,0.0,54.0,0.02197802197802198,72.0,0.029304029304029304,0.0,0.0,62.0,0.025234025234025233,0
71,2001.0,California,06027,KG,220.0,5.0,0.0,0.0,0.0,5.0,5.0,0.022727272727272728,0.0,0.022727272727272728,0.0,0.0,10.0,0.045454545454545456,8.0,0.03636363636363636,0.0,0.0,9.0,0.04090909090909091,0
72,2001.0,California,06029,KG,11819.0,148.0,0.0,0.0,16.0,148.0,164.0,0.013875962433369998,0.0013537524325239023,0.012522210000846095,0.0,0.0,404.0,0.03418224892122853,370.0,0.03130552500211524,0.0,0.0,369.0,0.031220915475082493,0
73,2001.0,California,06031,KG,2334.0,16.0,0.0,0.0,3.0,16.0,19.0,0.008140531276778063,0.0012853470437017994,0.006855184233076264,0.0,0.0,54.0,0.02313624678663239,42.0,0.017994858611825194,0.0,0.0,32.0,0.013710368466152529,0
74,2001.0,California,06033,KG,738.0,23.0,0.0,0.0,1.0,23.0,24.0,0.032520325203252036,0.0013550135501355014,0.03116531165311653,0.0,0.0,69.0,0.09349593495934959,96.0,0.13008130081300814,0.0,0.0,56.0,0.07588075880758807,0
75,2001.0,California,06035,KG,349.0,17.0,0.0,0.0,1.0,17.0,18.0,0.05157593123209169,0.0028653295128939827,0.04871060171919771,0.0,0.0,33.0,0.09455587392550144,35.0,0.10028653295128939,0.0,0.0,34.0,0.09742120343839542,0
76,2001.0,California,06037,KG,149644.0,850.0,0.0,0.0,116.0,850.0,966.0,0.006455320627622892,0.0007751730774371175,0.0056801475501857745,0.0,0.0,7574.0,0.05061345593542006,6939.0,0.04637005158910481,0.0,0.0,7482.0,0.049998663494694076,0
77,2001.0,California,06039,KG,2185.0,28.0,0.0,0.0,0.0,28.0,28.0,0.012814645308924484,0.0,0.012814645308924484,0.0,0.0,116.0,0.05308924485125858,82.0,0.037528604118993135,0.0,0.0,108.0,0.0494279176201373,0
78,2001.0,California,06041,KG,2699.0,98.0,0.0,0.0,17.0,98.0,115.0,0.04260837347165617,0.006298629121896999,0.03630974434975917,0.0,0.0,183.0,0.06780288995924416,181.0,0.06706187476843276,0.0,0.0,203.0,0.07521304186735828,0
79,2001.0,California,06043,KG,176.0,7.0,0.0,0.0,0.0,7.0,7.0,0.03977272727272727,0.0,0.03977272727272727,0.0,0.0,12.0,0.06818181818181818,18.0,0.10227272727272728,0.0,0.0,23.0,0.13068181818181818,0
80,2001.0,California,06045,KG,976.0,36.0,0.0,0.0,4.0,36.0,40.0,0.040983606557377046,0.004098360655737705,0.036885245901639344,0.0,0.0,80.0,0.08196721311475409,96.0,0.09836065573770492,0.0,0.0,91.0,0.0932377049180328,0
