Adequate Immunization Rate,Compliant with Idaho Regulations,Conditional Admit Records Rate,DTaP Adequate Rate,Exemption Record Rate,Grade,Hep. A Adequate Rate,Hep. B Adequate Rate,Incomplete or No Records Rate,MMR Adequate Rate,Meningitis Adequate Rate,Number of Records,Polio Adequate Rate,School District,School Name,School City,SchoolYear,State,Tdap Adequate Rate,Total Adequate,Total Conditional Admit Records,Total Enrollment,Total Exempt,Total Incomplete or No Records,Varicella Adequate Rate,X,Y,Address,City CAPS,City,testing,Zip
63.8%,100.0%,1.4%,76.8%,34.8%,Combined (School-level Rate),72.5%,78.3%,0.0%,71.0%,N/A,1,76.8%,393 Wallace,Silver Hills Elementary,Silver Hills Elementary OSBURN,2017-2018,ID,N/A,44,1,69,24,0,72.5%,-115.98569,47.499284,1246 Silver Valley Rd,OSBURN,Osburn,SILVER HILLS ELEMENTARY SCHOOL,83849
80.0%,100.0%,0.7%,87.1%,19.3%,Combined (School-level Rate),82.7%,84.3%,0.0%,85.7%,88.1%,1,86.4%,Charter,North Idaho Stem Charter Academy,North Idaho Stem Charter Academy RATHDRUM,2017-2018,ID,88.1%,112,1,140,27,0,79.6%,-116.8889507,47.8108651,PO Box 434,RATHDRUM,Rathdrum,NORTH IDAHO STEM CHARTER ACADEMY,83858
78.0%,100.0%,0.8%,87.4%,21.3%,Combined (School-level Rate),88.2%,91.3%,0.0%,90.6%,N/A,1,90.6%,421 Mccall-Donnelly,Barbara R. Morgan Elementary,Barbara R. Morgan Elementary MCCALL,2017-2018,ID,N/A,99,1,127,27,0,86.6%,-116.085235,44.897208,125 N Samson Trail,MCCALL,McCall,BARBARA R. MORGAN ELEMENTARY SCHOOL,83638
91.3%,99.5%,0.3%,93.9%,7.9%,Combined (School-level Rate),N/A,96.8%,0.5%,96.3%,93.1%,1,97.1%,139 Vallivue,Sage Valley Middle,Sage Valley Middle NAMPA,2017-2018,ID,93.9%,345,1,378,30,2,N/A,-116.603223013,43.634194059,18070 Santa Ana Ave,NAMPA,Nampa,SAGE VALLEY MIDDLE SCHOOL,83686
18.9%,100.0%,1.9%,41.5%,79.2%,Combined (School-level Rate),16.1%,28.3%,0.0%,35.8%,40.9%,1,39.6%,Private,St. Dominic,St. Dominic POST FALLS,2017-2018,ID,40.9%,10,1,53,42,0,19.4%,-117.020608981,47.687183796,20274 West Riverview Dr. Post Fa,POST FALLS,Post Falls,ST. DOMINIC SCHOOL,83854
71.1%,97.8%,0.3%,78.0%,26.4%,Combined (School-level Rate),72.3%,77.0%,2.2%,75.8%,74.8%,1,77.7%,Charter,Idaho Virtual Academy,Idaho Virtual Academy MERIDIAN,2017-2018,ID,74.8%,226,1,318,84,7,69.7%,-116.354529904,43.587035916,1965 S. Eagle Road Suite 190,MERIDIAN,Meridian,IDAHO VIRTUAL ACADEMY,83642
98.5%,100.0%,1.5%,99.3%,0.0%,Combined (School-level Rate),99.3%,100.0%,0.0%,100.0%,N/A,1,99.3%,340 Lewiston,Camelot Elementary,Camelot Elementary LEWISTON,2017-2018,ID,N/A,132,2,134,0,0,98.5%,-116.930812,46.373283,1903 Grelle Ave,LEWISTON,Lewiston,CAMELOT ELEMENTARY SCHOOL,83501
97.9%,100.0%,2.1%,100.0%,0.0%,Combined (School-level Rate),97.9%,100.0%,0.0%,100.0%,N/A,1,100.0%,1 Boise,Koelsch Elementary,Koelsch Elementary BOISE,2017-2018,ID,N/A,92,2,94,0,0,100.0%,-116.25374,43.62265,2015 N Curtis Rd,BOISE,Boise,KOELSCH ELEMENTARY SCHOOL,83706
97.3%,100.0%,2.7%,97.3%,0.0%,Combined (School-level Rate),97.3%,97.3%,0.0%,97.3%,N/A,1,97.3%,Charter,Monticello Montessori Public Charter,Monticello Montessori Public Charter AMMON,2017-2018,ID,N/A,73,2,75,0,0,100.0%,-111.959314941,43.455208380,4707 S. Sweetwater Way,AMMON,Ammon,MONTICELLO MONTESSORI PUBLIC CHARTER SCHOOL,83406
94.3%,100.0%,5.7%,94.3%,0.0%,Combined (School-level Rate),97.1%,94.3%,0.0%,97.1%,N/A,1,94.3%,33 Bear Lake,Georgetown Elementary,Georgetown Elementary GEORGETOWN,2017-2018,ID,N/A,33,2,35,0,0,97.1%,-111.369428,42.476814,142 Stringtown Road,GEORGETOWN,Georgetown,GEORGETOWN ELEMENTARY SCHOOL,83239
95.1%,100.0%,3.3%,95.1%,1.6%,Combined (School-level Rate),N/A,95.1%,0.0%,95.1%,98.4%,1,95.1%,58 Aberdeen,Aberdeen Middle,Aberdeen Middle ABERDEEN,2017-2018,ID,98.4%,58,2,61,1,0,N/A,-112.844576,42.942687,136 S 4th W,ABERDEEN,Aberdeen,ABERDEEN MIDDLE SCHOOL,83210
76.9%,100.0%,15.4%,92.3%,7.7%,Combined (School-level Rate),84.6%,84.6%,0.0%,92.3%,N/A,1,92.3%,Private,Rose Hill Montessori,Rose Hill Montessori BOISE,2017-2018,ID,N/A,10,2,13,1,0,92.3%,-116.238762,43.598786481,4603 Albion,BOISE,Boise,ROSE HILL MONTESSORI,83705
,,,N/A,,Combined (School-level Rate),N/A,N/A,,N/A,N/A,1,,Private,Silver Valley Christian Academy,Silver Valley Christian Academy KELLOGG,2017-2018,ID,N/A,2,2,7,1,2,N/A,-116.117784475,47.539038687,15 E Mullan Ave,KELLOGG,Kellogg,SILVER VALLEY CHRISTIAN ACADEMY,83837
95.1%,97.6%,1.6%,98.4%,0.8%,Combined (School-level Rate),97.5%,98.4%,2.4%,97.6%,95.5%,1,98.4%,Private,St. Joseph's,St. Joseph's BOISE,2017-2018,ID,95.5%,117,2,123,1,3,98.7%,-116.197983691,43.621815384,825 W. Fort St.,BOISE,Boise,ST. JOSEPH'S SCHOOL,83702
78.6%,89.3%,7.1%,96.4%,3.6%,Combined (School-level Rate),N/A,92.9%,10.7%,85.7%,85.7%,1,100.0%,13 Council,Council Jr/Sr High,Council Jr/Sr High COUNCIL,2017-2018,ID,85.7%,22,2,28,1,3,N/A,-116.438785,44.727848,101 E. Bleeker,COUNCIL,Council,COUNCIL JR SR HIGH SCHOOL,83612
92.0%,100.0%,4.0%,96.0%,4.0%,Combined (School-level Rate),96.0%,98.0%,0.0%,94.0%,N/A,1,96.0%,148 Grace,Grace Elementary,Grace Elementary GRACE,2017-2018,ID,N/A,46,2,50,2,0,92.0%,-111.731877,42.572972,117 West 4th South,GRACE,Grace,GRACE ELEMENTARY SCHOOL,83241
82.6%,100.0%,8.7%,82.6%,8.7%,Combined (School-level Rate),87.0%,82.6%,0.0%,82.6%,N/A,1,82.6%,21 Marsh Valley,Lava Elementary,Lava Elementary LAVA HOT SPRINGS,2017-2018,ID,N/A,19,2,23,2,0,82.6%,-112.015402,42.616736,349 West Fife,LAVA HOT SPRINGS,Lava Hot Springs,LAVA ELEMENTARY SCHOOL,83246
78.9%,86.0%,3.5%,80.7%,3.5%,Combined (School-level Rate),N/A,96.5%,14.0%,96.5%,82.5%,1,98.2%,291 Salmon,Salmon Jr/Sr High,Salmon Jr/Sr High SALMON,2017-2018,ID,82.5%,45,2,57,2,8,N/A,-113.890687063,45.171198249,900 Sharkey St,SALMON,Salmon,SALMON JR SR HIGH SCHOOL,83467
84.8%,88.6%,1.9%,89.5%,1.9%,Combined (School-level Rate),93.3%,93.3%,11.4%,90.5%,N/A,1,90.5%,3 Kuna,Indian Creek Elementary,Indian Creek Elementary KUNA,2017-2018,ID,N/A,89,2,105,2,12,86.7%,-116.426061,43.491986,911 W. 4th St.,KUNA,Kuna,INDIAN CREEK ELEMENTARY,83634
82.9%,85.4%,1.2%,84.8%,1.2%,Combined (School-level Rate),89.0%,90.2%,14.6%,83.5%,N/A,1,84.8%,232 Wendell,Wendell Elementary,Wendell Elementary WENDELL,2017-2018,ID,N/A,136,2,164,2,24,85.4%,-114.702152,42.776357,232 N. Boise St.,WENDELL,Wendell,WENDELL ELEMENTARY SCHOOL,83355
95.8%,100.0%,1.7%,97.5%,2.5%,Combined (School-level Rate),96.7%,99.2%,0.0%,96.7%,N/A,1,97.5%,132 Caldwell,Lincoln Elementary,Lincoln Elementary CALDWELL,2017-2018,ID,N/A,115,2,120,3,0,96.7%,-116.689609,43.659018,1200 Grant St,CALDWELL,Caldwell,LINCOLN ELEMENTARY SCHOOL - CALDWELL,83605
83.0%,93.6%,4.3%,93.6%,6.4%,Combined (School-level Rate),83.9%,95.7%,6.4%,93.6%,87.5%,1,95.7%,Charter,Heritage Academy,Heritage Academy JEROME,2017-2018,ID,87.5%,39,2,47,3,3,93.5%,-114.518442616,42.719912665,500 So. Lincoln,JEROME,Jerome,HERITAGE ACADEMY,83338
84.7%,87.4%,1.1%,89.1%,1.6%,Combined (School-level Rate),92.9%,92.9%,12.6%,89.6%,N/A,1,91.3%,411 Twin Falls,I.B. Perrine Elementary,I.B. Perrine Elementary TWIN FALLS,2017-2018,ID,N/A,155,2,183,3,23,89.1%,-114.487496,42.574387,452 Caswell Ave W,TWIN FALLS,Twin Falls,I.B. PERRINE ELEMENTARY SCHOOL,83301
93.2%,100.0%,2.3%,93.2%,4.5%,Combined (School-level Rate),94.3%,94.3%,0.0%,94.3%,N/A,1,93.2%,1 Boise,Lowell Elementary,Lowell Elementary BOISE,2017-2018,ID,N/A,82,2,88,4,0,94.3%,-116.223455,43.632991,1507 N 28th,BOISE,Boise,LOWELL ELEMENTARY SCHOOL,83703
93.4%,99.1%,1.9%,95.3%,3.8%,Combined (School-level Rate),97.2%,96.2%,0.9%,98.1%,N/A,1,97.2%,93 Bonneville,Hillview Elementary,Hillview Elementary AMMON,2017-2018,ID,N/A,99,2,106,4,1,97.2%,-111.973728,43.47532,3075 Teton,AMMON,Ammon,HILLVIEW ELEMENTARY SCHOOL,83406
64.6%,77.1%,4.2%,87.5%,8.3%,Combined (School-level Rate),N/A,87.5%,22.9%,87.5%,68.8%,1,87.5%,Charter,Idaho Science & Technology Charter,Idaho Science & Technology Charter BLACKFOOT,2017-2018,ID,68.8%,31,2,48,4,11,N/A,-112.405453284,43.199522445,21 N 550 W,BLACKFOOT,Blackfoot,IDAHO SCIENCE & TECHNOLOGY CHARTER SCHOOL,83221
89.4%,97.6%,2.4%,89.4%,5.9%,Combined (School-level Rate),92.9%,91.8%,2.4%,89.4%,N/A,1,89.4%,1 Boise,Adams Elementary,Adams Elementary BOISE,2017-2018,ID,N/A,76,2,85,5,2,89.4%,-116.1743,43.603381,1725 E warm Springs Ave.,BOISE,Boise,ADAMS ELEMENTARY SCHOOL - BOISE,83712
94.1%,100.0%,1.5%,94.9%,4.4%,Combined (School-level Rate),94.1%,95.6%,0.0%,95.6%,N/A,1,95.6%,131 Nampa,Snake River Elementary,Snake River Elementary NAMPA,2017-2018,ID,N/A,128,2,136,6,0,94.9%,-116.546711,43.588634,500 Stampede Drive,NAMPA,Nampa,SNAKE RIVER ELEMENTARY SCHOOL,83687
93.6%,100.0%,1.6%,95.2%,4.8%,Combined (School-level Rate),96.0%,96.0%,0.0%,96.8%,N/A,1,96.0%,340 Lewiston,Centennial Elementary,Centennial Elementary LEWISTON,2017-2018,ID,N/A,117,2,125,6,0,95.2%,-116.990698,46.376877,815 Burrell Ave.,LEWISTON,Lewiston,CENTENNIAL ELEMENTARY SCHOOL-NAMPA,83501
91.9%,96.9%,1.3%,93.1%,3.8%,Combined (School-level Rate),93.8%,95.0%,3.1%,93.1%,N/A,1,94.4%,2 West Ada,Lake Hazel Elementary,Lake Hazel Elementary BOISE,2017-2018,ID,N/A,147,2,160,6,5,94.4%,-116.328448,43.54656,11711 Lake Hazel Road,BOISE,Boise,LAKE HAZEL ELEMENTARY SCHOOL,83709
81.9%,93.1%,2.8%,90.3%,8.3%,Combined (School-level Rate),85.1%,93.1%,6.9%,87.5%,92.0%,1,90.3%,282 Genesee,Genesee,Genesee GENESEE,2017-2018,ID,92.0%,59,2,72,6,5,85.1%,-116.921737,46.551607,330 W. Ash Street PO Box 98,GENESEE,Genesee,GENESEE SCHOOLS,83832
95.4%,100.0%,1.0%,95.9%,3.6%,Combined (School-level Rate),96.4%,97.4%,0.0%,96.4%,N/A,1,96.4%,139 Vallivue,Skyway Elementary,Skyway Elementary CALDWELL,2017-2018,ID,N/A,185,2,194,7,0,96.4%,-116.623235535,43.654797,19430 Ward Road,CALDWELL,Caldwell,SKYWAY ELEMENTARY SCHOOL - CALDWELL,83605
93.4%,100.0%,1.5%,93.4%,5.1%,Combined (School-level Rate),95.6%,94.9%,0.0%,94.9%,N/A,1,94.2%,131 Nampa,Ronald Reagan Elementary,Ronald Reagan Elementary NAMPA,2017-2018,ID,N/A,128,2,137,7,0,94.9%,-116.532783,43.536642,3400 Southside Blvd,NAMPA,Nampa,RONALD REAGAN ELEMENTARY SCHOOL,83686
92.9%,100.0%,1.6%,96.8%,5.6%,Combined (School-level Rate),94.4%,96.8%,0.0%,96.8%,N/A,1,96.8%,93 Bonneville,Mountain Valley Elementary,Mountain Valley Elementary AMMON,2017-2018,ID,N/A,117,2,126,7,0,96.0%,-111.953079,43.474662,2601 S Princess Drive,AMMON,Ammon,MOUNTAIN HOME JUNIOR HIGH SCHOOL,83406
91.0%,100.0%,2.0%,96.0%,7.0%,Combined (School-level Rate),96.0%,97.0%,0.0%,96.0%,N/A,1,97.0%,131 Nampa,Park Ridge Elementary,Park Ridge Elementary NAMPA,2017-2018,ID,N/A,91,2,100,7,0,93.0%,-116.530375,43.570612,3313 Parkridge Dr,NAMPA,Nampa,PARK RIDGE ELEMENTARY SCHOOL,83687
87.8%,96.9%,2.0%,90.8%,7.1%,Combined (School-level Rate),93.4%,94.9%,3.1%,95.9%,86.4%,1,90.8%,Private,Watersprings,Watersprings IDAHO FALLS,2017-2018,ID,86.4%,86,2,98,7,3,98.7%,-111.984169872,43.460252246,4250 S. 25th E.,IDAHO FALLS,Idaho Falls,WATERSPRINGS SCHOOL,83404
70.4%,78.3%,1.7%,89.6%,6.1%,Combined (School-level Rate),N/A,90.4%,21.7%,90.4%,73.0%,1,91.3%,231 Gooding,Gooding Middle,Gooding Middle GOODING,2017-2018,ID,74.8%,81,2,115,7,25,N/A,-114.723651,42.938472,1045 7th Ave. West,GOODING,Gooding,GOODING MIDDLE SCHOOL,83330
93.5%,100.0%,1.3%,96.1%,5.2%,Combined (School-level Rate),96.1%,97.4%,0.0%,94.8%,N/A,1,94.8%,2 West Ada,Summerwind Elementary,Summerwind Elementary BOISE,2017-2018,ID,N/A,144,2,154,8,0,94.8%,-116.306359,43.638951,3675 N. Jullion Way,BOISE,Boise,SUMMERWIND ELEMENTARY SCHOOL,83704
93.3%,100.0%,1.3%,96.0%,5.3%,Combined (School-level Rate),96.0%,96.0%,0.0%,95.3%,N/A,1,96.0%,2 West Ada,Mary McPherson Elementary,Mary McPherson Elementary MERIDIAN,2017-2018,ID,N/A,140,2,150,8,0,95.3%,-116.381136,43.561194,1050 E Amity Rd,MERIDIAN,Meridian,MARY MCPHERSON ELEMENTARY SCHOOL,83642
84.9%,95.7%,2.2%,90.3%,8.6%,Combined (School-level Rate),93.3%,90.3%,4.3%,90.3%,72.7%,1,89.2%,Charter,Taylor's Crossing Charter,Taylor's Crossing Charter IDAHO FALLS,2017-2018,ID,72.7%,79,2,93,8,4,93.3%,-111.939057013,43.508535961,1445 N Woodriver Rd,IDAHO FALLS,Idaho Falls,TAYLOR'S CROSSING CHARTER SCHOOL,83401
87.1%,95.2%,1.6%,92.7%,6.5%,Combined (School-level Rate),92.7%,99.2%,4.8%,90.3%,N/A,1,92.7%,131 Nampa,Central Elementary,Central Elementary NAMPA,2017-2018,ID,N/A,108,2,124,8,6,91.1%,-116.561515,43.574186,1415 5th St. S.,NAMPA,Nampa,CENTRAL ELEMENTARY SCHOOL-NAMPA,83651
91.5%,96.5%,1.0%,94.5%,4.0%,Combined (School-level Rate),94.0%,97.0%,3.5%,94.5%,N/A,1,94.5%,131 Nampa,Willow Creek Elementary,Willow Creek Elementary NAMPA,2017-2018,ID,N/A,184,2,201,8,7,93.0%,-116.600405572,43.584276411,198 N. Elementary Ln,NAMPA,Nampa,WILLOW CREEK ELEMENTARY SCHOOL - MERIDIAN,83651
60.0%,96.7%,6.7%,73.3%,30.0%,Combined (School-level Rate),63.3%,73.3%,3.3%,73.3%,N/A,1,73.3%,71 Garden Valley,Garden Valley Elementary,Garden Valley Elementary GARDEN VALLEY,2017-2018,ID,N/A,18,2,30,9,1,63.3%,-116.006028,44.098957,1053 Banks Lowman Rd,GARDEN VALLEY,Garden Valley,GARDEN VALLEY ELEMENTARY SCHOOL,83622
