COUNTY_DESC,BEDS Code,POPULAR_NAME,GRADE_ORG_DESC,INST_SUB_TYPE_DESC,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,UGE,UGS,KFULL,KHALF,PK,Enrollment
WESTCHESTER,662300145093,ST ANN SCHOOL,Elementary,ROMAN CATHOLIC - ARCHDIOCESE OF NY,19,15,16,18,22,23,14,16,0,0,0,0,0,0,26,0,17,186
WESTCHESTER,662300145095,ANNUNCIATION SCHOOL,Elementary,ROMAN CATHOLIC - ARCHDIOCESE OF NY,30,46,57,60,51,58,51,56,0,0,0,0,0,0,69,0,43,521
WESTCHESTER,662300145096,ST ANTHONY SCHOOL,Elementary,ROMAN CATHOLIC - ARCHDIOCESE OF NY,23,22,22,28,25,26,31,26,0,0,0,0,0,0,29,0,58,290
WESTCHESTER,662300145106,ST CASIMIR SCHOOL,Elementary,ROMAN CATHOLIC - ARCHDIOCESE OF NY,19,20,10,17,13,18,12,27,0,0,0,0,0,0,22,0,73,231
WESTCHESTER,662300145113,ST EUGENE SCHOOL,Elementary,ROMAN CATHOLIC - ARCHDIOCESE OF NY,20,18,26,28,35,44,36,32,0,0,0,0,0,0,16,0,10,265
WESTCHESTER,662300145131,ST JOHN THE BAPTIST SCHOOL,Elementary,ROMAN CATHOLIC - ARCHDIOCESE OF NY,36,33,34,35,35,29,32,33,0,0,0,0,0,0,34,0,34,335
WESTCHESTER,662300145154,OUR LADY OF FATIMA SCHOOL,Elementary,ROMAN CATHOLIC - ARCHDIOCESE OF NY,15,14,13,17,23,11,11,19,0,0,0,0,0,0,12,0,17,152
WESTCHESTER,662300145170,ST PAUL THE APOSTLE,Elementary,ROMAN CATHOLIC - ARCHDIOCESE OF NY,22,21,19,24,21,18,25,16,0,0,0,0,0,0,26,0,28,220
WESTCHESTER,662300145172,ST PETER SCHOOL,Elementary,ROMAN CATHOLIC - ARCHDIOCESE OF NY,16,17,12,17,24,15,18,17,0,0,0,0,0,0,22,0,44,202
WESTCHESTER,662300145179,SACRED HEART ELEMENTARY SCHOOL,Elementary,ROMAN CATHOLIC - ARCHDIOCESE OF NY,19,17,19,22,14,19,30,25,0,0,0,0,0,0,27,0,44,236
WESTCHESTER,662300145180,SACRED HEART HIGH SCHOOL,Senior High,ROMAN CATHOLIC - ARCHDIOCESE OF NY,0,0,0,0,0,0,0,0,72,86,83,99,0,0,0,0,0,340
WESTCHESTER,662300229082,STEIN YESHIVA OF LINCOLN PARK,Elementary,JEWISH,1,6,3,10,2,0,8,1,0,0,0,0,0,0,1,0,33,65
WESTCHESTER,662300315793,ST MARK'S LUTHERAN SCHOOL,Elementary,LUTHERAN,2,10,3,3,9,4,5,3,0,0,0,0,0,0,18,0,72,129
WESTCHESTER,662300449883,OAKVIEW PREP SCHOOL,Elementary,SEVENTH-DAY ADVENTIST,22,23,22,25,20,23,32,34,0,0,0,0,0,0,26,0,26,253
WESTCHESTER,662300516461,CAROL & FRANK BIONDI EDUC CENTER,K-12 School,EPISCOPAL,7,6,30,41,27,25,25,34,42,57,51,75,0,0,1,0,141,562
WESTCHESTER,662300625497,ANDALUSIA SCHOOL,K-12 School,ISLAMIC,26,20,14,23,19,21,26,12,27,17,24,16,0,0,25,0,22,292
WESTCHESTER,662300809020,YONKERS CHRISTIAN ACADEMY,Elementary,CHRISTIAN FUNDAMENTALIST,20,11,18,17,10,9,10,7,0,0,0,0,0,0,17,0,33,152
WESTCHESTER,662300809530,CITY HARVEST PRESCHOOL,Elementary,CHRISTIAN FUNDAMENTALIST,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,20,29
WESTCHESTER,662300995058,JOHN A COLEMAN SCHOOL,Special School,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,65,21,0,0,64,150
WESTCHESTER,662300997779,WESTCHESTER SCHOOL FOR SPEC CHLDRN,Special School,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,89,155,0,0,19,263
WESTCHESTER,662300997808,FERNCLIFF MANOR FOR THE RETARDED,Special School,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,5,53,0,0,0,58
WESTCHESTER,662300998304,SARAH LAWRENCE EARLY CHLDHD CTR,Elementary,INDEPENDENT,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,40,51
WESTCHESTER,662300998877,"EYES AND EARS OF THE WORLD, INC",Elementary,INDEPENDENT,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,26,37
WESTCHESTER,662401145110,ST COLUMBANUS SCHOOL,Elementary,ROMAN CATHOLIC - ARCHDIOCESE OF NY,30,23,20,21,16,25,15,11,0,0,0,0,0,0,25,0,31,217
WESTCHESTER,662401147143,ST ELIZABETH ANN SETON SCHOOL,Elementary,ROMAN CATHOLIC - ARCHDIOCESE OF NY,38,33,37,28,32,33,40,33,0,0,0,0,0,0,34,0,23,331
WESTCHESTER,662402145169,ST PATRICK SCHOOL,Elementary,ROMAN CATHOLIC - ARCHDIOCESE OF NY,16,21,20,26,32,20,32,21,0,0,0,0,0,0,25,0,35,248
WESTCHESTER,662402228667,YESHIVA FARM SETTLEMENT SCHOOL,K-12 School,JEWISH,24,19,17,18,18,26,9,19,12,14,24,32,0,0,39,0,0,271
WESTCHESTER,662402997931,OUR MONTESSORI SCHOOL,Elementary,INDEPENDENT,11,11,10,7,7,6,0,0,0,0,0,0,0,0,6,9,69,136
WESTCHESTER,662402999170,SOUNDVIEW PREP SCHOOL,Junior Senior School,INDEPENDENT,0,0,0,0,0,1,10,6,14,16,0,0,6,0,0,0,0,53
WESTCHESTER,662402999178,SEED DAY CARE CENTER (THE),Elementary,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,66,92
WESTCHESTER,662402999785,BRIGHT BEGINNINGS LEARNING CENTER,Elementary,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27
