Year,County,SiteName,Enrollment,PBE,PME
2016-2017,Linn,SCIO MIDDLE SCHOOL,144,6,0
2016-2017,Linn,SEVEN OAK MIDDLE SCHOOL,567,16,1
2016-2017,Linn,SOUTH ALBANY HIGH SCHOOL,"1,270",11,0
2016-2017,Linn,SOUTH SHORE ELEMENTARY,409,0,0
2016-2017,Linn,STANDARD CHRISTIAN SCHOOL,29,8,0
2016-2017,Linn,SUNDBORN CHILDREN'S HOUSE,14,1,0
2016-2017,Linn,SUNRISE ELEMENTARY SCHOOL,403,4,1
2016-2017,Linn,Sweet Home Charter School,140,7,0
2016-2017,Linn,SWEET HOME HIGH SCHOOL,663,23,0
2016-2017,Linn,SWEET HOME JUNIOR HIGH SCHOOL,338,11,0
2016-2017,Linn,TAKENA ELEMENTARY SCHOOL,157,12,0
2016-2017,Linn,TANGENT ELEMENTARY SCHOOL,162,1,1
2016-2017,Linn,Timber Ridge School,722,18,0
2016-2017,Linn,WAVERLY ELEMENTARY SCHOOL,260,1,0
2016-2017,Linn,WEST ALBANY HIGH SCHOOL,"1,311",26,2
2016-2017,Malheur,Adrian Elementary & Middle School,203,3,0
2016-2017,Malheur,Adrian High School,89,0,0
2016-2017,Malheur,Aiken Elementary School,301,4,0
2016-2017,Malheur,Alameda Elementary,393,0,0
2016-2017,Malheur,Annex  Charter School,77,6,0
2016-2017,Malheur,Cairo Elementary School,148,0,0
2016-2017,Malheur,Four Rivers Community School,168,5,0
2016-2017,Malheur,Four Rivers Preparatory School,78,0,0
2016-2017,Malheur,Four Rivers Senior Prepatory,28,0,0
2016-2017,Malheur,Harper Elementary School,98,2,0
2016-2017,Malheur,Jordan Valley Elementary School,23,0,0
2016-2017,Malheur,Jordan Valley High School,45,1,0
2016-2017,Malheur,Juntura Elementary School,2,,
2016-2017,Malheur,May Roberts Elementary,378,5,0
2016-2017,Malheur,Nyssa Alternative High School,25,0,0
2016-2017,Malheur,Nyssa Elementary School,536,4,0
2016-2017,Malheur,Nyssa High School,315,6,4
2016-2017,Malheur,Nyssa Middle School,258,5,0
2016-2017,Malheur,Ontario High School,685,2,0
2016-2017,Malheur,Ontario Middle School,342,10,0
2016-2017,Malheur,Pioneer Elementary  School,130,3,0
2016-2017,Malheur,St Peter Catholic School,56,0,0
2016-2017,Malheur,Treasure Valley Christian School,74,6,0
2016-2017,Malheur,Vale Elementary School,446,8,0
2016-2017,Malheur,Vale High School,267,8,0
2016-2017,Malheur,Vale Middle School,127,2,0
2016-2017,Malheur,Willow Creek School,88,4,0
2016-2017,Malheur,WW Jones - Arock School,14,0,0
2016-2017,Marion,A Smart Start,1,,
2016-2017,Marion,Abiqua Academy,181,6,0
2016-2017,Marion,Auburn Elementary,665,10,0
2016-2017,Marion,Aumsville Elementary 3-5,301,12,0
2016-2017,Marion,Aumsville Elementary K-2,286,16,1
2016-2017,Marion,Battle Creek Elementary,577,25,0
2016-2017,Marion,Bethany Charter School,137,28,0
2016-2017,Marion,Blanchet Catholic School,343,3,0
2016-2017,Marion,Bud to Blossom Day Care,14,0,0
2016-2017,Marion,Bush Elementary,300,10,2
2016-2017,Marion,"Buttercup Hill, Inc",27,0,0
2016-2017,Marion,Candalaria Elementary,347,12,0
2016-2017,Marion,Cascade Junior High School,559,22,1
2016-2017,Marion,Cascade Senior High School,779,14,0
2016-2017,Marion,Cascade View Christian School,79,0,0
2016-2017,Marion,Centennial CTP,15,0,0
2016-2017,Marion,Central Howell Elementary,181,12,1
2016-2017,Marion,Cesar E Chavez Elementary,568,9,0
2016-2017,Marion,Chemawa Indian Clinic/School,424,0,0
2016-2017,Marion,Chemeketa CTP,19,0,0
2016-2017,Marion,Chemeketa-GED,19,0,0
2016-2017,Marion,Claggett Creek Middle,923,18,0
2016-2017,Marion,Clear Lake Elementary,428,13,0
2016-2017,Marion,Cloverdale Elementary  School #5,159,5,0
2016-2017,Marion,Cozy Cottage Child Care,1,,
2016-2017,Marion,Crosshill Christian School North Campus,74,1,0
2016-2017,Marion,Crosshill Christian School South Campus,275,26,0
2016-2017,Marion,Crossler Middle,753,28,2
2016-2017,Marion,Cummings Elementary,431,10,1
2016-2017,Marion,Downtown CTP,31,0,0
2016-2017,Marion,Eagle Charter School,141,18,0
2016-2017,Marion,Early College High School,186,6,0
2016-2017,Marion,Englewood Elementary,383,8,1
2016-2017,Marion,Evergreen Elementary School #4,82,5,0
2016-2017,Marion,Eyre Elementary,561,2,1
2016-2017,Marion,Forest Ridge Elementary,248,12,0
2016-2017,Marion,Four Corners,517,2,0
2016-2017,Marion,French Prairie Middle School #103,603,5,0
2016-2017,Marion,Gervais Elementary,408,17,0
2016-2017,Marion,Gervais High,287,20,0
2016-2017,Marion,Gervais Middle,230,13,0
2016-2017,Marion,Gethsemane Christian Academy,16,4,0
2016-2017,Marion,Grant Elementary School,435,15,0
2016-2017,Marion,Gubser Elementary,545,21,0
2016-2017,Marion,Half-Pint Daycare LLC,9,,
2016-2017,Marion,Hallman Elementary,374,2,0
2016-2017,Marion,Hammond Elementary,503,4,0
2016-2017,Marion,Hayesville Elementary,420,4,0
2016-2017,Marion,Heritage Elementary,887,161,1
2016-2017,Marion,Heritage School,43,3,0
2016-2017,Marion,Highland Elementary,393,14,0
2016-2017,Marion,Hillcrest-Robert Farrell School,82,0,0
2016-2017,Marion,Holy Family Academy,45,9,0
2016-2017,Marion,Hoover Elementary,457,6,0
2016-2017,Marion,Houck Middle,974,12,0
2016-2017,Marion,Howard St. Charter,160,10,1
2016-2017,Marion,Immanuel Lutheran School,72,2,0
2016-2017,Marion,Jane Goodall Charter School,98,8,0
2016-2017,Marion,Jefferson Elementary,373,10,0
2016-2017,Marion,Jefferson High School,273,3,0
2016-2017,Marion,Jefferson Middle School,202,3,1
2016-2017,Marion,John F. Kennedy High School,191,7,0
2016-2017,Marion,Judson Middle,947,18,0
2016-2017,Marion,Keizer Elementary,677,14,1
2016-2017,Marion,Kennedy Elementary,439,3,0
2016-2017,Marion,Lamb Elementary,469,7,0
2016-2017,Marion,Lee Elementary,302,14,0
2016-2017,Marion,Leslie Middle School,751,24,1
2016-2017,Marion,Liberty Elementary,385,14,0
2016-2017,Marion,Lincoln Elementary #103,781,10,1
2016-2017,Marion,Little Friends Montessori,22,1,0
2016-2017,Marion,Livingstone Adventist Academy,141,9,0
2016-2017,Marion,MacLaren - Lord High,23,0,0
2016-2017,Marion,Mark Twain Elementary School,323,25,1
2016-2017,Marion,McKay High School,"2,232",15,0
2016-2017,Marion,McKinley Elementary,342,12,0
2016-2017,Marion,McNary High School,"1,906",36,1
2016-2017,Marion,Micah CTP,16,0,0
2016-2017,Marion,Miller Elementary,421,14,1
2016-2017,Marion,Montessori Discovery Center 1,10,1,0
2016-2017,Marion,Montessori Discovery Center 2,32,2,0
2016-2017,Marion,Morningside Elementary,380,8,0
2016-2017,Marion,Mt. Angel Middle School,161,7,0
2016-2017,Marion,Nellie Muir Elementary #103,477,8,0
2016-2017,Marion,North Marion High #15,581,14,0
2016-2017,Marion,North Marion Intermediate #15,465,19,0
2016-2017,Marion,North Marion Middle #15,475,5,1
2016-2017,Marion,North Marion Primary #15,392,0,0
2016-2017,Marion,North Salem High,"1,644",22,0
2016-2017,Marion,OLE Charter School,130,4,0
2016-2017,Marion,Oregon School for Deaf,124,2,0
2016-2017,Marion,OSH - Quest Adult School-Willamette ESD,14,0,0
2016-2017,Marion,Our Saviour's Christian Elementary & Ark Angels Pr,66,3,0
2016-2017,Marion,Parrish Middle School,669,13,0
2016-2017,Marion,Pratum Elementary,73,6,0
2016-2017,Marion,Precious Little Lambs,1,,
2016-2017,Marion,Pringle Elementary,545,14,0
2016-2017,Marion,Queen of Peace,102,6,0
2016-2017,Marion,Regis High School,129,0,2
2016-2017,Marion,Richmond Elementary,383,12,0
2016-2017,Marion,Robert Frost School #4,408,33,0
2016-2017,Marion,Roberts High School IPS,7,,
2016-2017,Marion,Roberts High School SLC,64,1,0
2016-2017,Marion,Roberts High School-DTLC,40,1,0
2016-2017,Marion,Roberts High School-SKON,101,4,2
2016-2017,Marion,Roberts High School-SOPH,34,0,0
2016-2017,Marion,Roots Academy,16,0,0
2016-2017,Marion,Sacred Heart - Gervais,61,8,0
2016-2017,Marion,Salem Academy Elementary,260,13,0
2016-2017,Marion,Salem Academy High,220,11,0
2016-2017,Marion,Salem Academy Middle School,136,9,0
2016-2017,Marion,Salem Child Development,9,,
2016-2017,Marion,Salem Heights Elementary,314,13,0
2016-2017,Marion,Salem Montessori School,2,,
2016-2017,Marion,Samuel Brown Academy,42,2,0
2016-2017,Marion,Schirle Elementary,415,15,2
2016-2017,Marion,Scott Elementary,623,16,4
2016-2017,Marion,Scotts Mills #4,166,20,0
2016-2017,Marion,Silver Crest School,133,17,0
2016-2017,Marion,Silver Falls Christian School,5,,
2016-2017,Marion,Silverton High,"1,281",96,0
2016-2017,Marion,Silverton Middle School,459,34,0
2016-2017,Marion,Sonshine Christian School,129,9,0
2016-2017,Marion,South Salem High School,"1,756",35,2
2016-2017,Marion,Sprague High School,"1,628",45,1
2016-2017,Marion,St. John Bosco High School,16,5,0
2016-2017,Marion,St. John's Lutheran,11,0,0
2016-2017,Marion,St. Joseph's School,163,6,0
2016-2017,Marion,St. Luke's - Woodburn,124,3,0
2016-2017,Marion,St. Mary's - Stayton,207,15,0
2016-2017,Marion,St. Mary's School,373,12,2
2016-2017,Marion,St. Paul Elementary,1,,
2016-2017,Marion,St. Paul High,128,1,0
2016-2017,Marion,St. Paul Parochial,66,0,0
2016-2017,Marion,St. Vincent De Paul,114,0,0
2016-2017,Marion,Stayton Elementary #29,423,7,2
2016-2017,Marion,Stayton High School,654,16,0
2016-2017,Marion,Stayton Intermediate,218,6,0
2016-2017,Marion,Stayton Middle School #29,350,7,1
2016-2017,Marion,Stephens Middle School,"1,068",12,0
2016-2017,Marion,Sublimity Elementary SD 7,390,14,1
2016-2017,Marion,Sumpter Elementary,544,32,1
2016-2017,Marion,Swegle Elementary,533,6,0
2016-2017,Marion,Teen Parents Program,50,0,0
2016-2017,Marion,The Community Roots School,102,40,0
2016-2017,Marion,Truth Tabernacle Christian Academy,22,0,1
2016-2017,Marion,Turner Elementary #5,292,14,0
2016-2017,Marion,Tykes R Us,4,,
2016-2017,Marion,Valley Inquiry Charter,165,19,0
2016-2017,Marion,Valor Middle School #103,643,51,2
2016-2017,Marion,Victor Point #4,219,20,0
2016-2017,Marion,Waldo Middle School,942,13,1
2016-2017,Marion,Washington Elementary,397,2,0
2016-2017,Marion,Washington Elementary-Woodburn,517,0,0
2016-2017,Marion,Weddle Elementary,428,10,1
2016-2017,Marion,Wheatland CTP,14,1,0
2016-2017,Marion,Whiteaker Middle,770,22,0
2016-2017,Marion,Willamette Valley Baptist,61,21,0
2016-2017,Marion,Willamette Valley Christian,156,8,2
2016-2017,Marion,Winema,29,0,0
2016-2017,Marion,Woodburn Arthur Academy,167,16,0
2016-2017,Marion,Woodburn H.S. (WAAST),400,26,0
2016-2017,Marion,Woodburn H.S. (WACA),383,7,1
2016-2017,Marion,Woodburn H.S. (WEBSS),360,19,0
2016-2017,Marion,Woodburn H.S.(AIS),271,3,0
2016-2017,Marion,Woodburn H.S.SUCCESS,70,4,0
2016-2017,Marion,Wright Elementary,402,10,0
2016-2017,Marion,Yoshikai Elementary,581,11,0
2016-2017,Morrow, AC HOUGHTON ELEMENTARY,277,2,0
2016-2017,Morrow,HEPPNER ELEMENTARY,167,3,0
2016-2017,Morrow,Heppner High/Middle School,163,3,0
2016-2017,Morrow,Ione Community School,198,2,0
2016-2017,Morrow,Irrigon Elementary,200,2,0
2016-2017,Morrow,IRRIGON JUNIOR-SENIOR HIGH SCHOOL,375,2,0
2016-2017,Morrow,MORROW EDUCATION CENTER,54,0,0
2016-2017,Morrow,Riverside High School,425,1,0
2016-2017,Morrow,Sam Boardman Elementary,335,1,0
2016-2017,Morrow,Windy River Elementary,226,2,0
2016-2017,Multnomah,Abernethy ES,514,39,1
2016-2017,Multnomah,Access,350,13,0
2016-2017,Multnomah,Ainsworth ES,602,29,1
2016-2017,Multnomah,Alameda ES,747,59,1
2016-2017,Multnomah,Alder ES,501,11,0
2016-2017,Multnomah,Alice Ott MS,705,31,1
2016-2017,Multnomah,ALL SAINTS SCHOOL,473,3,0
2016-2017,Multnomah,Alliance HS @ Benson Campus,67,5,0
2016-2017,Multnomah,Alliance HS at Meek,108,1,0
2016-2017,Multnomah,APOSTOLIC CHRISTIAN ACADEMY,14,1,0
2016-2017,Multnomah,Arata Creek,43,0,0
2016-2017,Multnomah,Arleta K-8,445,30,0
2016-2017,Multnomah,Arthur Academy Charter (David Douglas S. D.),153,14,0
2016-2017,Multnomah,Arthur Academy Charter (Portland Public Schools),165,16,0
2016-2017,Multnomah,Astor K-8,435,13,0
2016-2017,Multnomah,Atkinson ES,426,44,1
2016-2017,Multnomah,Beach PK-8,462,24,1
2016-2017,Multnomah,Beaumont MS,564,23,0
2016-2017,Multnomah,Benson Polytechnic HS,938,37,1
2016-2017,Multnomah,Beverly Cleary K-8,871,29,0
2016-2017,Multnomah,Boise-Eliot PK-8,485,11,0
2016-2017,Multnomah,Breakthrough,8,,
2016-2017,Multnomah,Bridger K-8,490,36,0
2016-2017,Multnomah,BRIDGES MIDDLE SCHOOL,25,1,0
2016-2017,Multnomah,Bridlemile E.S.,504,30,1
2016-2017,Multnomah,Buckman ES,455,72,0
2016-2017,Multnomah,BUILDING BRIDGES,7,,
2016-2017,Multnomah,Burlingame Creek,22,1,0
2016-2017,Multnomah,Butler Creek E.S.,562,37,0
2016-2017,Multnomah,C.T.C. Humboldt,17,0,0
2016-2017,Multnomah,C.T.C. Northeast,35,3,0
2016-2017,Multnomah,C.T.C. Southeast,50,2,0
2016-2017,Multnomah,Capitol Hill ES,438,13,0
2016-2017,Multnomah,CASITA MONTESSORI SCHOOL,1,,
2016-2017,Multnomah,CATHEDRAL SCHOOL,222,16,0
2016-2017,Multnomah,CEDARWOOD WALDORF SCHOOL,284,119,0
2016-2017,Multnomah,Centennial HS,"1,696",49,3
2016-2017,Multnomah,Centennial Middle School,892,56,1
2016-2017,Multnomah,Centennial Park School,152,2,2
2016-2017,Multnomah,Center for Advanced Learning,216,2,1
2016-2017,Multnomah,CENTRAL CATHOLIC HIGH SCHOOL,892,18,0
2016-2017,Multnomah,CENTRAL CHRISTIAN ACADEMY,13,0,0
2016-2017,Multnomah,Cesar Chavez School K-8,520,10,0
2016-2017,Multnomah,Chapman ES,564,31,0
2016-2017,Multnomah,Cherry Park ES,513,32,0
2016-2017,Multnomah,CHESTNUT GROVE MONTESSORI CHILDREN'S HOUSE,2,,
2016-2017,Multnomah,Chief Joseph,323,24,1
2016-2017,Multnomah,CHILD 'S VIEW MONTESSORI SCHOOL,9,,
2016-2017,Multnomah,CHILDPEACE MONTESSORI,256,37,1
2016-2017,Multnomah,CHILDREN'S LEARNING CENTER,10,0,0
2016-2017,Multnomah,CHILDREN'S VALLEY,10,4,0
2016-2017,Multnomah,CHILDSWORK LEARNING CENTER,20,2,0
2016-2017,Multnomah,CITY CHRISTIAN SCHOOL,417,49,0
2016-2017,Multnomah,CLASS ACADEMY,121,10,0
2016-2017,Multnomah,Clear Creek MS,628,17,0
2016-2017,Multnomah,Cleveland HS,"1,500",100,3
2016-2017,Multnomah,Clinton School,9,,
2016-2017,Multnomah,COLUMBIA CHRISTIAN SCHOOL,335,21,0
2016-2017,Multnomah,Community Transition Program  DD,45,1,1
2016-2017,Multnomah,Corbett Grade School,541,69,0
2016-2017,Multnomah,Corbett HS,427,26,1
2016-2017,Multnomah,Corbett MS,269,18,0
2016-2017,Multnomah,CREATIVE MINDS ACADEMY,4,,
2016-2017,Multnomah,CREATIVE MINDS LC-  BROADWAY,5,,
2016-2017,Multnomah,Creative Science School PK-8,489,76,1
2016-2017,Multnomah,Creston PK-8,343,30,0
2016-2017,Multnomah,Damascus MS,157,14,0
2016-2017,Multnomah,DAVID DOUGLAS CREDIT RECOVERY,0,,
2016-2017,Multnomah,David Douglas Day Academy,1,,
2016-2017,Multnomah,David Douglas HS,"2,795",66,2
2016-2017,Multnomah,DaVinci Arts MS,457,38,3
2016-2017,Multnomah,Davis ES,450,5,0
2016-2017,Multnomah,DD Evening Academy,2,,
2016-2017,Multnomah,DE LA SALLE N CATHOLIC HIGH SCHOOL,321,8,0
2016-2017,Multnomah,Deep Creek ES,266,21,1
2016-2017,Multnomah,Depaul Alternative School,2,,
2016-2017,Multnomah,Dexter McCarty MS,555,14,1
2016-2017,Multnomah,Duniway ES,524,40,0
2016-2017,Multnomah,Earl Boyles ES,481,24,0
2016-2017,Multnomah,East Gresham ES,386,9,0
2016-2017,Multnomah,East Orient ES,462,27,1
2016-2017,Multnomah,Ed Options Reconnection Center,8,,
2016-2017,Multnomah,Emerson School  The,138,26,0
2016-2017,Multnomah,Fairview ES,376,17,1
2016-2017,Multnomah,Faubion ES,458,16,0
2016-2017,Multnomah,Fir Ridge Campus,170,1,0
2016-2017,Multnomah,Floyd Light MS,790,24,0
2016-2017,Multnomah,Forest Park ES,460,19,0
2016-2017,Multnomah,Four Corners School,42,0,0
2016-2017,Multnomah,FRANCISCAN MONTESSORI EARTH SCHOOL,245,42,0
2016-2017,Multnomah,Franklin HS,"1,497",63,3
2016-2017,Multnomah,FRENCH AMERICAN INT'L SCH,482,22,0
2016-2017,Multnomah,FRUIT AND FLOWER CHILDCARE CENTER,13,1,0
2016-2017,Multnomah,GATEWAY CHRISTIAN SCHOOL,20,3,0
2016-2017,Multnomah,George MS,345,6,0
2016-2017,Multnomah,Gilbert Heights ES,617,20,1
2016-2017,Multnomah,Gilbert Park ES,610,41,1
2016-2017,Multnomah,Glencoe ES,490,59,1
2016-2017,Multnomah,Glenfair ES,537,11,0
2016-2017,Multnomah,Gordon Russell MS,732,18,0
2016-2017,Multnomah,GRACE LUTHERAN SCHOOL,82,11,0
2016-2017,Multnomah,Grant HS,"1,447",47,0
2016-2017,Multnomah,GREATER PORTLAND CHRISTIAN ACADEMY,88,30,0
2016-2017,Multnomah,Gresham Arthur Academy,164,21,0
2016-2017,Multnomah,GRESHAM HIGH SCHOOL,"1,451",38,1
2016-2017,Multnomah,Grout ES,365,40,0
2016-2017,Multnomah,Hall ES,448,13,0
2016-2017,Multnomah,HAPPY DAY CHRISTIAN CHILDCARE,7,,
2016-2017,Multnomah,HARMONY MONTESSORI SCHOOL,33,4,0
2016-2017,Multnomah,Harrison Park PK-8,658,15,1
2016-2017,Multnomah,Hartley ES,462,21,0
2016-2017,Multnomah,Hayhurst ES,343,17,1
2016-2017,Multnomah,HB Lee MS,735,18,0
2016-2017,Multnomah,Helensview School,121,1,0
2016-2017,Multnomah,Highland ES,495,16,0
2016-2017,Multnomah,HILLTOP PRESCHOOL & KINDERGARTEN,10,2,0
2016-2017,Multnomah,Hogan Cedars,584,21,0
2016-2017,Multnomah,Hollydale ES,404,11,0
2016-2017,Multnomah,HOLY CROSS CATHOLIC SCHOOL,204,3,0
2016-2017,Multnomah,HOLY FAMILY CATHOLIC SCHOOL,206,4,0
2016-2017,Multnomah,HOLY REDEEMER SCHOOL,255,4,0
2016-2017,Multnomah,Hosford International MS,616,33,2
2016-2017,Multnomah,INSPIRED MINDS PREP,22,1,0
2016-2017,Multnomah,"INTERNATIONAL SCHOOL, THE",365,26,0
2016-2017,Multnomah,Irvington K-8,442,24,0
2016-2017,Multnomah,"Ivy School, The",270,62,0
2016-2017,Multnomah,Jackson MS,589,28,0
2016-2017,Multnomah,James John ES,381,15,0
2016-2017,Multnomah,Jefferson HS,566,30,0
2016-2017,Multnomah,Johns Landing,6,,
2016-2017,Multnomah,JOYFUL NOISE - CITY KIDS CHILD DEVELOPMENT CENTER,13,0,0
2016-2017,Multnomah,KairosPDX,84,18,0
2016-2017,Multnomah,Kelly Creek ES,530,14,1
2016-2017,Multnomah,Kelly ES,562,113,1
2016-2017,Multnomah,KINDERCARE LC #0902,5,,
2016-2017,Multnomah,King PK-8,345,6,0
2016-2017,Multnomah,Knova Reynolds Public Charter,381,27,0
2016-2017,Multnomah,L' ETOILE FRENCH IMMERSION SCHOOL,78,13,0
2016-2017,Multnomah,LA PETITE ACADEMY,5,,
2016-2017,Multnomah,Lane MS,426,24,2
2016-2017,Multnomah,Laurelhurst K-8,676,21,1
2016-2017,Multnomah,Le Monde French Immersion,274,41,1
2016-2017,Multnomah,Lee K-8,426,19,1
2016-2017,Multnomah,Lent K-8,496,12,0
2016-2017,Multnomah,Lewis ES,406,62,0
2016-2017,Multnomah,Lewis/Clark Montessori Charter,334,72,0
2016-2017,Multnomah,Lincoln High School,"1,658",45,3
2016-2017,Multnomah,Lincoln Park ES,636,23,0
2016-2017,Multnomah,LITTLE GENIUS MONTESSORI (THE),1,,
2016-2017,Multnomah,LITTLE VILLAGE MONTESSORI,3,,
2016-2017,Multnomah,Llewellyn ES,514,39,0
2016-2017,Multnomah,Lynch Meadows ES,443,22,0
2016-2017,Multnomah,Lynch View ES,493,31,1
2016-2017,Multnomah,Lynch Wood ES,502,14,0
2016-2017,Multnomah,MA'AYAN  HA TORAH DAY SCHOOL,61,9,0
2016-2017,Multnomah,MADELEINE SCHOOL,257,3,1
2016-2017,Multnomah,Madison HS,"1,008",23,1
2016-2017,Multnomah,MAIMONIDES JEWISH DAY SCHOOL/THE GAN PRESCHOOL,29,4,0
2016-2017,Multnomah,MANOS UNIDAS MONTESSORI,1,,
2016-2017,Multnomah,Maplewood ES,376,25,1
2016-2017,Multnomah,Margaret Scott ES,456,4,0
2016-2017,Multnomah,Markham ES,419,38,1
2016-2017,Multnomah,Marysville K-8,347,15,0
2016-2017,Multnomah,ME Web Academy High School,342,10,1
2016-2017,Multnomah,ME Web Academy Middle School,44,3,0
2016-2017,Multnomah,Menlo Park ES,501,11,0
2016-2017,Multnomah,MESD FLS Arata Creek,10,0,0
2016-2017,Multnomah,MESD FLS Centennial H.S.,10,0,0
2016-2017,Multnomah,MESD FLS Centennial MS,5,,
2016-2017,Multnomah,MESD FLS Elementary West,6,,
2016-2017,Multnomah,MESD FLS Oliver E.S.,5,,
2016-2017,Multnomah,MESD- FLS Sweetbriar Elementary School,4,,
2016-2017,Multnomah,MESD FLS Transition Program,6,,
2016-2017,Multnomah,MESD FLS Wheatley School,49,3,0
2016-2017,Multnomah,Metropolitan Learning Center K-8,296,51,0
2016-2017,Multnomah,Metropolitan Learning Ctr HS,100,13,0
2016-2017,Multnomah,Mill Park ES,506,35,0
2016-2017,Multnomah,MONTESSORI CHILDREN'S HOUSE,5,,
2016-2017,Multnomah,MORNINGSTAR MONTESSORI HOUSE OF CHILDREN,10,0,0
2016-2017,Multnomah,Morrison Center Counterpoint,12,0,0
2016-2017,Multnomah,Morrison Hand in Hand,5,,
2016-2017,Multnomah,MOTHER EARTH SCHOOL,27,16,1
2016-2017,Multnomah,MT SCOTT JUBILEE,3,,
2016-2017,Multnomah,Mt Scott Park Learning Ctr,140,5,0
2016-2017,Multnomah,Mt Tabor MS,715,43,0
2016-2017,Multnomah,Multisensory Learning Academy Elementary School,284,21,0
2016-2017,Multnomah,MULTISENSORY LEARNING ACADEMY MIDDLE SCHOOL,200,14,0
2016-2017,Multnomah,NAYA Early College Academy,47,0,0
2016-2017,Multnomah,NEW FARM MONTESSORI,1,,
2016-2017,Multnomah,Nickerson Adt,7,,
2016-2017,Multnomah,North Gresham ES,535,17,1
2016-2017,Multnomah,NORTHWEST ACADEMY,213,13,0
2016-2017,Multnomah,Ockley Green School 6-8,605,43,1
2016-2017,Multnomah,Odyssey Program K-8,209,19,0
2016-2017,Multnomah,Oliver Elementary,437,14,0
2016-2017,Multnomah,Opal Charter School,88,21,0
2016-2017,Multnomah,OPEN DOOR CHRISTIAN ACADEMY,207,71,0
2016-2017,Multnomah,OPEN SCHOOL - EAST,110,2,0
2016-2017,Multnomah,OPEN SCHOOL - NORTH,37,2,0
2016-2017,Multnomah,PACIFIC CREST COMM SCH,88,11,0
2016-2017,Multnomah,Parklane Elementary,362,13,0
2016-2017,Multnomah,Parkrose HS,910,10,1
2016-2017,Multnomah,Parkrose MS,737,25,0
2016-2017,Multnomah,Parry Center,25,0,0
2016-2017,Multnomah,Parry Center SCIP,6,,
2016-2017,Multnomah,Peninsula K-8,258,9,0
2016-2017,Multnomah,PERFECT ANGELS CHILDCARE LLC,3,,
2016-2017,Multnomah,PHONICS PHACTORY CHRISTIAN SCHOOL,245,24,0
2016-2017,Multnomah,Pioneer 5-8 @ Youngson,38,3,0
2016-2017,Multnomah,Pioneer Annex 9-12,30,1,0
2016-2017,Multnomah,Pioneer K-6 @ Holladay Center,50,3,0
2016-2017,Multnomah,Pleasant Valley ES,404,42,0
2016-2017,Multnomah,PORTLAND ADVENTIST ACADEMY,259,12,0
2016-2017,Multnomah,PORTLAND ADVENTIST ELEMENTARY SCHOOL,199,19,0
2016-2017,Multnomah,PORTLAND CHRISTIAN ELEMENTARY SCHOOL,274,30,0
2016-2017,Multnomah,PORTLAND CHRISTIAN JR/SR HS,275,13,0
2016-2017,Multnomah,Portland International Scholars Academy,31,0,0
2016-2017,Multnomah,PORTLAND JEWISH ACADEMY,172,8,2
2016-2017,Multnomah,PORTLAND MONTESSORI COLLABORATIVE,6,,
2016-2017,Multnomah,PORTLAND MONTESSORI SCHOOL,68,11,0
2016-2017,Multnomah,"PORTLAND SCHOOL OF EXPERIENTIAL EDUCATION, THE",5,,
2016-2017,Multnomah,Portland Village School,394,173,6
2016-2017,Multnomah,Portland Youth Builders,15,1,0
2016-2017,Multnomah,Powell Valley Grade School,478,21,0
2016-2017,Multnomah,Prescott ES,324,8,0
2016-2017,Multnomah,PUDDLETOWN SCHOOL,39,6,0
2016-2017,Multnomah,RENAISSANCE SCHOOL OF ARTS AND SCIENCE,139,39,0
2016-2017,Multnomah,REY Academy,45,1,0
2016-2017,Multnomah,Reynolds Arthur Academy,192,19,0
2016-2017,Multnomah,Reynolds HS,"2,398",31,2
2016-2017,Multnomah,Reynolds Learning Academy,192,0,0
2016-2017,Multnomah,Reynolds MS,910,20,1
2016-2017,Multnomah,Richmond ES,643,66,0
2016-2017,Multnomah,Rieke ES,409,27,0
2016-2017,Multnomah,Rigler K-5,454,19,1
2016-2017,Multnomah,Riverdale Grade School,397,24,0
2016-2017,Multnomah,Riverdale High School,235,11,0
2016-2017,Multnomah,Robert Gray MS,544,27,0
2016-2017,Multnomah,Ron Russell MS,833,43,0
2016-2017,Multnomah,Roosevelt HS,799,15,1
2016-2017,Multnomah,Rosa Parks E.S.,294,10,1
2016-2017,Multnomah,Rosemary Anderson HS,134,1,0
2016-2017,Multnomah,Rosemary Anderson HS East,139,1,0
2016-2017,Multnomah,Rosemary Anderson HS- New Columbia,65,0,0
2016-2017,Multnomah,Roseway Heights K-8,632,37,0
2016-2017,Multnomah,Russell Academy,415,21,1
2016-2017,Multnomah,Sabin K-8,516,25,0
2016-2017,Multnomah,Sacramento ES,340,25,1
2016-2017,Multnomah,SAGE,8,,
2016-2017,Multnomah,Salish Ponds ES,475,13,0
2016-2017,Multnomah,Sam Barlow HS,"1,616",30,1
2016-2017,Multnomah,Scott K-8,493,14,0
2016-2017,Multnomah,Self Enhancement Inc. Academy,63,0,0
2016-2017,Multnomah,Sellwood MS,581,28,0
2016-2017,Multnomah,SERENDIPITY CENTER,100,8,0
2016-2017,Multnomah,Shaver ES,320,9,0
2016-2017,Multnomah,SHINING STAR SCHOOL,46,19,0
2016-2017,Multnomah,Sitton ES,388,8,1
2016-2017,Multnomah,Skyline K-8,301,14,0
2016-2017,Multnomah,Southwest Charter School,190,68,3
2016-2017,Multnomah,Springwater Trail HS,176,5,0
2016-2017,Multnomah,ST AGATHA SCHOOL,187,12,2
