Year,RCDTS,Total_Enrolled,PBE_total,PME_total
2012,70161440022004,280,3,0
2012,70161440022005,265,0,0
2012,70161440022007,210,0,1
2012,70161440022009,282,3,0
2012,70161440022010,382,0,0
2012,70161450021001,601,2,1
2012,70161450022002,221,3,0
2012,70161450022003,306,0,0
2012,70161450022004,323,0,0
2012,70161460041001,773,5,0
2012,70161460042002,580,7,2
2012,70161460042003,355,8,0
2012,70161460042005,301,5,0
2012,70161460042006,349,0,2
2012,70161470021001,402,2,0
2012,70161470022004,393,2,0
2012,70161470022006,306,0,0
2012,70161470022007,326,0,0
2012,70161480021002,211,2,0
2012,70161480021003,233,1,0
2012,70161480021004,152,0,0
2012,70161480022002,142,0,0
2012,70161480022003,410,0,0
2012,70161480022005,338,1,0
2012,70161480022006,387,0,0
2012,70161480022007,236,1,0
2012,70161480022010,232,1,0
2012,70161480023002,91,0,0
2012,70161490021004,266,0,0
2012,70161490021005,252,1,0
2012,70161490021006,266,1,0
2012,70161490022002,355,0,0
2012,70161490022005,807,2,0
2012,70161490022006,329,1,0
2012,70161490022009,363,1,0
2012,70161490022010,433,2,0
2012,70161500021005,458,1,0
2012,70161500022001,412,0,0
2012,70161500022002,207,0,0
2012,70161510021001,517,0,0
2012,70161510022002,316,0,0
2012,70161510022004,300,0,0
2012,70161510022006,406,1,0
2012,70161520021001,544,0,0
2012,70161520022001,357,0,1
2012,70161520022002,274,0,0
2012,70161520022004,367,0,0
2012,70161520022005,263,0,0
2012,70161520022007,234,0,0
2012,70161520022008,297,0,0
2012,70161520023001,197,0,0
2012,70161525021002,220,0,0
2012,70161525022001,162,0,0
2012,70161525022004,204,0,0
2012,70161525022005,236,0,0
2012,70161525022006,184,0,0
2012,70161530021003,505,1,1
2012,70161530022002,413,7,1
2012,70161530022005,590,4,0
2012,70161530022006,404,3,0
2012,70161540022002,225,1,0
2012,70161545022001,200,0,0
2012,70161550021001,423,0,0
2012,70161550022002,371,0,0
2012,70161550022004,365,0,0
2012,70161560022001,1090,1,1
2012,70161570021001,290,3,0
2012,70161570022001,629,2,0
2012,70161580021004,861,0,0
2012,70161580022001,674,1,2
2012,70161580022005,460,2,0
2012,70161580022006,305,0,0
2012,70161580023001,140,0,1
2012,70161590021001,720,0,0
2012,70161590022002,244,0,0
2012,70161590022004,305,0,0
2012,70161590022005,374,0,0
2012,70161590022006,320,0,0
2012,70161600021001,302,0,0
2012,70161600022003,544,4,0
2012,70161600022004,469,2,0
2012,70161610021003,916,3,1
2012,70161610022001,312,2,0
2012,70161610022002,288,4,0
2012,70161610022006,373,2,2
2012,70161610022007,454,3,0
2012,70161620021004,604,3,3
2012,70161620022001,512,1,1
2012,70161620022003,424,0,0
2012,70161620022005,423,2,0
2012,70161620022008,460,2,0
2012,70161620022009,426,3,0
2012,70161620022010,244,7,2
2012,70161630021010,436,0,0
2012,70161630022001,206,0,0
2012,70161630022002,452,1,0
2012,70161630022003,250,0,0
2012,70161630022007,362,1,0
2012,70161630022008,277,4,0
2012,70161670021002,252,0,0
2012,70161670022001,275,0,0
2012,70161670022003,347,0,0
2012,70161670022004,333,0,0
2012,70161680041003,529,0,0
2012,70161680042001,463,2,0
2012,70161680042002,574,1,0
2012,70161690021001,196,0,0
2012,70161690022002,281,0,0
2012,70161700022001,554,1,0
2012,70161700022002,484,0,1
2012,70161700022005,275,1,2
2012,70161700022007,468,0,0
2012,70161700022008,266,0,1
2012,70161700022009,292,2,1
2012,70161700022011,297,0,0
2012,70161700022012,285,0,1
2012,70161700022013,210,0,0
2012,70161700023001,143,0,0
2012,70161710021001,486,0,0
2012,70161710022001,513,6,0
2012,70161720022001,402,1,2
2012,70161940021001,511,2,0
2012,70161940022002,317,6,0
2012,70161940022004,304,6,1
2012,70161940022005,385,0,1
2012,70162050170001,2083,7,0
2012,70162050170002,1321,4,0
2012,70162050170003,1972,8,1
2012,70162060170001,1681,0,0
2012,70162060170002,1493,0,0
2012,70162060173001,65,0,0
2012,70162100170001,1471,1,0
2012,70162150170001,1583,2,0
2012,70162150170002,1972,5,3
2012,70162170160001,1842,1,0
2012,70162180160001,1837,1,0
2012,70162180160004,1709,5,3
2012,70162180160007,1914,8,0
2012,70162180163001,217,0,0
2012,70162200170001,1805,2,0
2012,70162270170001,1097,4,0
2012,70162270170002,1364,2,0
2012,70162270170003,1136,0,0
2012,70162280160001,1330,13,1
2012,70162280160002,1280,3,0
2012,70162280160003,1240,3,0
2012,70162280160004,1493,12,1
2012,70162290160001,1829,2,0
2012,70162300130001,3521,11,3
2012,70162300130002,2491,5,0
2012,70162300130003,2164,12,2
2012,70162310160001,840,3,0
2012,70162330160001,2807,12,4
2012,70165150513101,22,0,0
2012,80000000003101,19,0,0
2012,80083080260001,218,3,0
2012,80083080262002,194,2,0
2012,80083080262003,293,3,0
2012,80083140260001,381,3,0
2012,80083140261001,279,2,0
2012,80083140262002,513,4,0
2012,80083140263001,94,2,0
2012,80083990260002,144,2,0
2012,80083990261001,128,1,0
2012,80083990262001,83,1,0
2012,80083990262002,174,0,0
2012,80431190220003,209,0,0
2012,80431190221001,97,0,0
2012,80431190222002,396,5,0
2012,80431200220002,233,3,0
2012,80431200221001,238,4,0
2012,80431200222002,341,5,0
2012,80432050260001,243,0,1
2012,80432050262002,205,1,0
2012,80432060260003,162,0,3
2012,80432060261001,180,0,2
2012,80432060262002,273,9,0
2012,80432100260002,155,1,0
2012,80432100261001,113,1,0
2012,80432100262003,265,2,0
2012,80432110260002,79,0,0
2012,80432110261001,42,0,0
2012,80432110262001,136,2,0
2012,80891450220001,1279,3,1
2012,80891450221002,708,0,0
2012,80891450222003,281,0,1
2012,80891450222004,292,0,1
2012,80891450222005,267,1,1
2012,80891450222006,298,4,0
2012,80891450222012,252,0,0
2012,80891450222015,547,5,1
2012,80891450222017,337,0,0
2012,80892000260001,169,0,0
2012,80892000261001,72,0,0
2012,80892000262001,262,1,1
2012,80892010260001,418,3,0
2012,80892010262003,453,7,1
2012,80892020260001,288,1,2
2012,80892020261002,170,0,2
2012,80892020262003,403,2,3
2012,80892030260001,125,1,0
2012,80892030261001,56,0,0
2012,80892030262003,214,3,0
2012,90100010262002,617,7,0
2012,90100030260001,888,0,0
2012,90100030261002,714,1,0
2012,90100030262003,643,1,0
2012,90100030262004,442,1,1
2012,90100030262005,284,1,0
2012,90100040260001,1417,5,0
2012,90100040260002,1347,8,0
2012,90100040261003,677,0,0
2012,90100040261005,692,0,0
2012,90100040261007,606,4,0
2012,90100040262007,443,0,1
2012,90100040262008,427,0,0
2012,90100040262010,432,4,3
2012,90100040262011,515,0,0
2012,90100040262013,358,1,1
2012,90100040262017,483,3,1
2012,90100040262020,341,4,0
2012,90100040262021,415,1,0
2012,90100040262024,311,4,0
2012,90100040262026,459,0,0
2012,90100040262027,458,7,3
2012,90100040263016,286,0,0
