COUNTY,BEDS Code,SCHOOL_NAME,GRADE_ORG_DESC,AFFILIATION,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,UGE,UGS,KFULL,KHALF,PK,Enrollment
MONROE,261313995996,ST JOHN BOSCO SCHOOL,Junior Senior School,INDEPENDENT,11,8,16,7,8,9,2,4,0,0,0,0,1,0,8,0,0,74
MONROE,261401167057,SAINT LOUIS SCHOOL,Elementary,ROMAN CATHOLIC - ROCHESTER DIOCESE,33,32,38,37,46,32,0,0,0,0,0,0,0,0,38,0,66,322
MONROE,261401997038,ALLENDALE COLUMBIA SCHOOL,K-12 School,INDEPENDENT,29,18,16,34,19,19,30,30,25,42,44,31,0,0,19,0,20,376
MONROE,261600165998,NATIVITY PREPARATORY ACADEMY,Middle School,ROMAN CATHOLIC - ROCHESTER DIOCESE,0,0,0,0,16,18,18,11,0,0,0,0,0,0,0,0,0,63
MONROE,261600166178,HOLY CROSS SCHOOL,Elementary,ROMAN CATHOLIC - ROCHESTER DIOCESE,42,40,35,28,21,41,0,0,0,0,0,0,0,0,37,0,39,283
MONROE,261600166206,NAZARETH ELEMENTARY SCHOOL,Elementary,ROMAN CATHOLIC - ROCHESTER DIOCESE,21,18,22,21,18,20,0,0,0,0,0,0,0,0,23,0,35,178
MONROE,261600167041,AQUINAS INSTITUTE OF ROCHESTER,Junior Senior School,ROMAN CATHOLIC - ROCHESTER DIOCESE,0,0,0,0,0,0,89,106,162,164,145,172,0,0,0,0,0,838
MONROE,261600168383,TRINITY MONTESSORI SCHOOL,Elementary,ROMAN CATHOLIC - ROCHESTER DIOCESE,8,9,6,6,4,7,0,0,0,0,0,0,0,0,45,0,40,125
MONROE,261600227875,TALMUDICAL INSTITUTE OF UPSTATE NEW YORK,Senior High,JEWISH,0,0,0,0,0,0,0,0,12,13,13,7,0,0,0,0,0,45
MONROE,261600229557,ORA ACADEMY,Senior High,JEWISH,0,0,0,0,0,0,0,0,8,3,1,6,0,0,0,0,0,18
MONROE,261600805555,NORTHSIDE CHRISTIAN ACADEMY,Elementary,INDEPENDENT,1,1,2,2,0,0,0,0,0,0,0,0,0,0,10,0,9,25
MONROE,261600995647,HAMIDIYE ACADEMY,Middle School,INDEPENDENT,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,9
MONROE,261600997046,ROCHESTER SCHOOL FOR THE DEAF,Junior Senior School,INDEPENDENT,5,4,7,6,2,11,9,2,3,3,0,7,3,19,6,0,13,100
MONROE,261600997048,MARY CARIOLA CHILDRENS CENTER,Special School,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,177,171,0,0,38,386
MONROE,261600997698,HILLSIDE CHILDRENS CENTER SCHOOL,Junior Senior School,INDEPENDENT,0,2,2,2,2,5,5,11,18,27,9,8,0,0,0,0,0,91
MONROE,261600998895,COBBLESTONE SCHOOL,Elementary,INDEPENDENT,6,8,6,5,7,5,2,0,0,0,0,0,0,0,9,0,2,50
MONROE,261701167030,SCHOOL OF THE HOLY CHILDHOOD,Special School,ROMAN CATHOLIC - ROCHESTER DIOCESE,0,0,0,0,0,0,0,0,0,0,0,0,32,83,0,0,0,115
MONROE,261701329066,PINNACLE LUTHERAN SCHOOL,Elementary,LUTHERAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,64,84
MONROE,261701998567,NORMAN HOWARD SCHOOL,Junior Senior School,INDEPENDENT,0,0,0,1,5,11,11,17,20,21,22,21,0,0,0,0,0,129
MONROE,261801808866,CORNERSTONE CHRISTIAN ACADEMY,K-12 School,CHRISTIAN FUNDAMENTALIST,6,3,3,3,2,1,5,6,6,8,7,6,0,0,6,0,6,68
MONROE,261901166223,SAINT RITA SCHOOL,Elementary,ROMAN CATHOLIC - ROCHESTER DIOCESE,30,42,42,43,48,37,0,0,0,0,0,0,0,0,33,0,22,297
MONROE,261901805659,LAKESIDE ALPHA SCHOOL,Junior Senior School,INDEPENDENT,0,0,5,8,5,6,2,4,4,0,4,2,0,0,0,0,0,40
MONROE,261901807039,ROCHESTER CHRISTIAN SCHOOL,Elementary,CHRISTIAN FUNDAMENTALIST,11,11,7,13,15,11,17,11,0,0,0,0,0,0,7,5,12,120
MONROE,261901808468,WEBSTER CHRISTIAN SCHOOL,K-12 School,CHRISTIAN FUNDAMENTALIST,9,9,12,11,10,10,7,22,16,21,20,24,0,0,12,0,6,189
MONROE,261901997789,HILLSIDE-HALPERN EDUCATIONAL CENTER,Junior Senior School,INDEPENDENT,0,0,0,0,0,7,6,7,14,17,15,3,0,0,0,0,0,69
MONROE,261901999886,WEBSTER MONTESSORI SCHOOL,Elementary,INDEPENDENT,17,3,3,7,1,0,0,0,0,0,0,0,0,0,25,0,58,114
MONROE,262001997047,CRESTWOOD CHILDREN'S CENTER,Elementary,INDEPENDENT,1,12,7,16,18,25,25,13,0,0,0,0,0,0,4,0,1,122
MONTGOMERY,270100115723,SAINT MARY'S INSTITUTE ELEMENTARY SCHOOL,Elementary,ROMAN CATHOLIC - ALBANY DIOCESE,34,14,23,20,21,18,17,13,0,0,0,0,0,0,28,0,32,220
MONTGOMERY,270301996102,FAITH BIBLE ACADEMY,Junior Senior School,INDEPENDENT,1,1,3,1,3,2,4,2,2,5,2,3,0,0,0,0,0,29
MONTGOMERY,270601655125,SHADY LANE SCHOOL,Elementary,MENNONITES,3,4,2,2,4,3,2,2,0,0,0,0,0,0,0,0,0,22
MONTGOMERY,270701659807,TURNPIKE SCHOOL,Elementary,MENNONITES,2,3,2,2,2,3,2,2,0,0,0,0,0,0,0,0,0,18
NASSAU,280100179251,ALL SAINTS REGIONAL CATH ELEM-UPPER,Elementary,ROMAN CATHOLIC ROCKVILLE CENTER DIOCESE,16,13,20,27,19,16,24,28,0,0,0,0,0,0,16,0,29,208
NASSAU,280100607084,FRIENDS ACADEMY,K-12 School,QUAKERS,21,32,32,24,43,60,65,72,95,97,98,86,0,0,25,0,19,769
NASSAU,280100998347,NORTH SHORE DAY SCHOOL,Elementary,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,33,53
NASSAU,280201175646,SACRED HEART ACADEMY,Senior High,ROMAN CATHOLIC ROCKVILLE CENTER DIOCESE,0,0,0,0,0,0,0,0,220,219,215,216,0,0,0,0,0,870
NASSAU,280201629311,CRESCENT SCHOOL,K-12 School,ISLAMIC,21,19,13,17,17,13,26,22,19,19,14,16,0,0,14,0,15,245
NASSAU,280202175545,KELLENBERG MEMORIAL HIGH SCHOOL,Junior Senior School,ROMAN CATHOLIC ROCKVILLE CENTER DIOCESE,0,0,0,0,0,121,219,193,506,564,456,505,0,0,0,0,0,2564
NASSAU,280202179356,SAINT MARTIN DE PORRES MARIANIST SCHOOL,Elementary,ROMAN CATHOLIC ROCKVILLE CENTER DIOCESE,32,27,27,38,36,59,58,52,0,0,0,0,0,0,43,0,40,412
NASSAU,280202227573,HEBREW ACADEMY OF NASSAU,Junior Senior School,JEWISH,0,0,0,0,0,0,72,77,54,74,67,73,0,0,0,0,0,417
NASSAU,280202999448,PAT-KAM SCHOOL & EARLY CHILDHOOD CENTER,Elementary,INDEPENDENT,8,3,1,0,1,0,0,0,0,0,0,0,0,0,26,0,26,65
