County,BEDS Code,Name,Grade Org,Affiliation,GR1,GR2,GR3,GR4,GR5,GR6,UGE,GR7,GR8,GR9,GR10,GR11,GR12,UGS,FullK,HalfK,PreK,Enrollment
DUTCHESS,131601145065,OUR LADY OF LOURDES HIGH SCHOOL,Senior High,ROMAN CATHOLIC - ARCHDIOCESE OF NY,0,0,0,0,0,0,0,0,0,180,193,186,175,0,0,0,0,734
DUTCHESS,131601997124,POUGHKEEPSIE DAY SCHOOL,K-12 School,INDEPENDENT,6,13,13,19,17,14,0,11,21,20,25,35,23,0,7,0,6,230
DUTCHESS,131601999527,HAWK MEADOW MONTESSORI SCHOOL,Elementary,INDEPENDENT,4,4,2,5,5,3,0,4,3,2,0,0,0,0,9,0,33,74
DUTCHESS,131602606741,OAKWOOD FRIENDS SCHOOL,Junior Senior School,QUAKERS,0,0,0,0,0,11,0,4,12,17,22,25,36,0,0,0,0,127
DUTCHESS,131701999086,DEVEREUX IN NY,Special School,INDEPENDENT,0,0,0,0,0,0,17,0,0,0,0,0,0,123,0,0,0,140
DUTCHESS,131801996226,PRIMROSE HILL SCHOOL,Elementary,INDEPENDENT,5,7,7,5,11,0,0,0,0,0,0,0,0,0,17,0,6,58
DUTCHESS,131801998687,ASTOR SERVICES FOR CHILDREN-FAMILIES,Elementary,INDEPENDENT,5,12,15,14,18,24,0,13,13,0,0,0,0,0,1,0,186,301
DUTCHESS,132101145054,ST DENIS/ST COLUMBA SCHOOL,Elementary,ROMAN CATHOLIC - ARCHDIOCESE OF NY,30,18,28,15,32,21,0,21,19,0,0,0,0,0,17,0,0,201
DUTCHESS,132101145061,ST MARY SCHOOL,Elementary,ROMAN CATHOLIC - ARCHDIOCESE OF NY,14,11,8,12,7,15,0,17,14,0,0,0,0,0,12,0,24,134
DUTCHESS,132101145062,ST MARY SCHOOL,Elementary,ROMAN CATHOLIC - ARCHDIOCESE OF NY,25,22,22,29,28,29,0,23,30,0,0,0,0,0,18,0,0,226
DUTCHESS,132101808641,FAITH CHRISTIAN ACADEMY,K-12 School,CHRISTIAN FUNDAMENTALIST,9,14,16,14,15,19,0,20,30,26,21,18,16,0,14,0,16,248
DUTCHESS,132101997683,RANDOLPH SCHOOL (THE),Elementary,INDEPENDENT,5,10,4,6,5,0,0,0,0,0,0,0,0,0,12,0,28,70
DUTCHESS,132201808016,UPTON LAKE CHRISTIAN SCHOOL,K-12 School,CHRISTIAN FUNDAMENTALIST,2,5,7,1,8,7,0,4,3,6,9,5,5,0,2,0,0,64
DUTCHESS,132201996576,DUTCHESS DAY SCHOOL (THE),Elementary,INDEPENDENT,16,9,14,13,21,15,0,16,13,0,0,0,0,0,16,0,10,143
DUTCHESS,132201998894,CARDINAL HAYES SCHOOL FOR SPEC CHLDR,Special School,INDEPENDENT,0,0,0,0,0,0,18,0,0,0,0,0,0,34,0,0,0,52
ERIE,140101136379,ST JOHN THE BAPTIST SCHOOL,Elementary,ROMAN CATHOLIC BUFFALO DIOCESE,10,7,14,7,13,19,0,12,12,0,0,0,0,0,16,0,19,129
ERIE,140201136377,BUFFALO ACADEMY OF THE SACRED HEART,Senior High,ROMAN CATHOLIC BUFFALO DIOCESE,0,0,0,0,0,0,0,0,0,113,138,132,125,0,0,0,0,508
ERIE,140201136411,ST BENEDICT SCHOOL,Elementary,ROMAN CATHOLIC BUFFALO DIOCESE,18,36,22,23,24,20,0,21,14,0,0,0,0,0,36,0,37,251
ERIE,140201136433,CHRIST THE KING SCHOOL,Elementary,ROMAN CATHOLIC BUFFALO DIOCESE,19,19,22,21,21,20,0,6,19,0,0,0,0,0,22,0,14,183
ERIE,140201205429,KADIMAH SCHOOL OF BUFFALO,Elementary,JEWISH,5,4,7,4,1,5,0,1,4,0,0,0,0,0,6,0,0,37
ERIE,140201997077,PARK SCHOOL OF BUFFALO,K-12 School,INDEPENDENT,12,16,17,15,19,13,0,21,19,30,40,40,29,0,13,0,10,294
ERIE,140203136252,ST MARY'S SCHOOL,Elementary,ROMAN CATHOLIC BUFFALO DIOCESE,11,22,15,19,15,14,0,22,25,0,0,0,0,0,26,0,15,184
ERIE,140203136273,ST GREGORY THE GREAT SCHOOL,Elementary,ROMAN CATHOLIC BUFFALO DIOCESE,51,51,44,55,45,54,0,61,70,0,0,0,0,0,56,0,52,539
ERIE,140203136333,ST PETER & PAUL SCHOOL,Elementary,ROMAN CATHOLIC BUFFALO DIOCESE,11,19,19,26,21,16,0,22,18,0,0,0,0,0,21,0,65,238
ERIE,140203229522,JEWISH HERITAGE DAY SCHOOL,Elementary,JEWISH,11,7,13,4,10,11,0,8,9,6,0,0,0,0,13,0,18,110
