County,BEDS Code,School Name,Grade Org,Affiliation,GR1,GR2,GR3,GR4,GR5,GR6,UGE,GR7,GR8,GR9,GR10,GR11,GR12,UGS,FULLK,HALFK,PREK,Enrollment
ERIE,1.40101E+11,Saint John The Baptist School,Elementary,ROMAN CATHOLIC BUFFALO DIOCESE,9,16,10,13,18,12,0,15,11,0,0,0,0,0,11,0,24,139
ERIE,1.40201E+11,Buffalo Academy Of The Sacred Heart,Senior High,ROMAN CATHOLIC BUFFALO DIOCESE,0,0,0,0,0,0,0,0,0,143,136,126,135,0,0,0,0,540
ERIE,1.40201E+11,Saint Benedict School,Elementary,ROMAN CATHOLIC BUFFALO DIOCESE,33,19,21,18,20,15,0,12,22,0,0,0,0,0,19,0,41,220
ERIE,1.40201E+11,Christ The King School,Elementary,ROMAN CATHOLIC BUFFALO DIOCESE,19,22,21,22,20,17,0,18,21,0,0,0,0,0,18,0,19,197
ERIE,1.40201E+11,Kadimah School Of Buffalo,Elementary,JEWISH,7,8,5,2,4,4,0,6,1,0,0,0,0,0,5,0,10,52
ERIE,1.40202E+11,Park School Of Buffalo,K-12 School,INDEPENDENT,15,16,14,19,14,17,0,22,15,35,33,31,27,0,12,0,17,287
ERIE,1.40203E+11,Saint Mary'S School,Elementary,ROMAN CATHOLIC BUFFALO DIOCESE,25,17,22,18,14,26,0,26,22,0,0,0,0,0,16,0,26,212
ERIE,1.40203E+11,Saint Gregory The Great School,Elementary,ROMAN CATHOLIC BUFFALO DIOCESE,60,46,57,51,55,66,0,71,69,0,0,0,0,0,77,0,35,587
ERIE,1.40203E+11,Ss Peter And Paul School,Elementary,ROMAN CATHOLIC BUFFALO DIOCESE,22,19,25,21,17,23,0,19,31,0,0,0,0,0,14,0,82,273
ERIE,1.40203E+11,Jewish Heritage Day School,Elementary,JEWISH,8,14,3,10,11,9,0,7,7,0,0,0,0,0,10,0,24,103
ERIE,1.40204E+11,Christian Central Academy,K-12 School,CHRISTIAN FUNDAMENTALIST,20,22,26,25,30,28,0,13,32,32,26,29,27,0,24,0,0,334
ERIE,1.40204E+11,Amherst Christian Academy,Junior Senior School,CHRISTIAN FUNDAMENTALIST,6,5,4,3,1,3,0,3,3,3,5,3,0,0,4,0,3,46
ERIE,1.40204E+11,Gateway-Longview Lynde School,K-12 School,INDEPENDENT,8,6,8,9,9,9,0,4,12,22,12,11,15,0,11,0,17,153
ERIE,1.40204E+11,"Chc Learning Center-A Program Of The Center For Handicapped Children,",Special School,INDEPENDENT,0,0,0,0,0,0,19,0,0,0,0,0,0,24,0,0,11,54
ERIE,1.40204E+11,Summit Educational Resources,Special School,INDEPENDENT,0,0,0,0,0,0,129,0,0,0,0,0,0,105,0,0,57,291
ERIE,1.40207E+11,Saint Christopher School,Elementary,ROMAN CATHOLIC BUFFALO DIOCESE,46,43,41,38,36,36,0,36,38,0,0,0,0,0,46,0,67,427
ERIE,1.40301E+11,Immaculate Conception School,Elementary,ROMAN CATHOLIC BUFFALO DIOCESE,19,16,26,28,28,32,0,29,19,0,0,0,0,0,24,0,0,221
ERIE,1.40302E+11,Gow School (The),Junior Senior School,INDEPENDENT,0,0,0,0,0,2,0,5,10,31,29,40,39,0,0,0,0,156
ERIE,1.40302E+11,East Aurora Montessori School,Elementary,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,31,37
ERIE,1.40302E+11,Aurora Waldorf School,Elementary,INDEPENDENT,15,12,18,14,19,11,0,8,9,0,0,0,0,0,9,11,24,150
ERIE,1.406E+11,Notre Dame Academy,Elementary,ROMAN CATHOLIC BUFFALO DIOCESE,45,46,53,42,51,40,0,40,55,0,0,0,0,0,72,0,54,498
ERIE,1.406E+11,Saint Joseph University School,Elementary,ROMAN CATHOLIC BUFFALO DIOCESE,18,19,22,16,17,19,0,14,19,0,0,0,0,0,16,0,18,178
ERIE,1.406E+11,Our Lady Of Black Rock,Elementary,ROMAN CATHOLIC BUFFALO DIOCESE,17,24,17,25,24,19,0,15,19,0,0,0,0,0,18,0,18,196
