County,BEDS Code,School Name,Grade Org Desc,Affiliation,GR 1,GR 2,GR 3,GR 4,GR 5,GR 6,GR 7,GR 8,GR 9,GR 10,GR 11,GR 12,UGE,UGS,FULLK,HALFK,PREK,Enrollment
ERIE,140203136252,Saint Mary'S School,Elementary,ROMAN CATHOLIC BUFFALO DIOCESE,18,15,9,22,28,20,18,26,0,0,0,0,0,0,14,0,27,197
ERIE,140203136273,Saint Gregory The Great School,Elementary,ROMAN CATHOLIC BUFFALO DIOCESE,58,44,66,63,73,73,77,56,0,0,0,0,0,0,47,0,63,620
ERIE,140203136333,Ss Peter And Paul School,Elementary,ROMAN CATHOLIC BUFFALO DIOCESE,29,25,15,18,16,30,35,28,0,0,0,0,0,0,33,0,62,291
ERIE,140203229522,Jewish Heritage Day School,Elementary,JEWISH,7,11,13,9,11,8,9,2,0,0,0,0,0,0,13,0,9,92
ERIE,140203806578,Christian Central Academy,K-12 School,CHRISTIAN FUNDAMENTALIST,26,31,32,32,13,33,22,19,31,30,34,24,0,0,23,0,0,350
ERIE,140203808420,Amherst Christian Academy,Junior Senior School,CHRISTIAN FUNDAMENTALIST,1,2,1,3,1,0,2,5,4,2,1,2,0,0,3,0,5,32
ERIE,140203997682,Gateway-Longview Lynde School,K-12 School,INDEPENDENT,9,6,12,10,7,5,7,11,22,29,8,11,0,0,9,0,32,178
ERIE,140203998069,"Chc Learning Center-A Program Of The Center For Handicapped Children,",Special School,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,14,25,0,0,7,46
ERIE,140203998223,Summit Educational Resources,Special School,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,134,102,0,0,47,283
ERIE,140207136286,Saint Christopher School,Elementary,ROMAN CATHOLIC BUFFALO DIOCESE,40,44,38,43,40,43,46,56,0,0,0,0,0,0,50,0,62,462
ERIE,140301136236,Immaculate Conception School,Elementary,ROMAN CATHOLIC BUFFALO DIOCESE,27,24,32,32,30,17,30,28,0,0,0,0,0,0,16,0,0,236
ERIE,140301997258,Gow School (The),Junior Senior School,INDEPENDENT,0,0,0,0,0,0,11,11,19,35,33,37,0,0,0,0,0,146
ERIE,140301998001,East Aurora Montessori School,Elementary,INDEPENDENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,30,34
ERIE,140301999928,Aurora Waldorf School,Elementary,INDEPENDENT,17,18,19,18,12,11,12,9,0,0,0,0,0,0,14,10,16,156
ERIE,140600135498,Notre Dame Academy,Elementary,ROMAN CATHOLIC BUFFALO DIOCESE,54,48,50,42,46,57,50,43,0,0,0,0,0,0,53,0,44,487
