County,School Year,Percent_PBE
Frio,2011-2012,0.1
Frio,2012-2013,0.07
Frio,2013-2014,0.1
Frio,2014-2015,0.19
Frio,2015-2016,0.06
Frio,2016-2017,0.03
Frio,2017-2018,0.16
Gaines,2010-2011,2.63
Gaines,2011-2012,2.94
Gaines,2012-2013,3.72
Gaines,2013-2014,4.32
Gaines,2014-2015,4.35
Gaines,2015-2016,4.83
Gaines,2016-2017,6.26
Gaines,2017-2018,8.78
Galveston,2010-2011,0.53
Galveston,2011-2012,0.69
Galveston,2012-2013,0.78
Galveston,2013-2014,0.91
Galveston,2014-2015,1.07
Galveston,2015-2016,0.99
Galveston,2016-2017,1.19
Galveston,2017-2018,1.26
Garza,2010-2011,0.11
Garza,2011-2012,0.45
Garza,2012-2013,0.54
Garza,2013-2014,0.59
Garza,2014-2015,0.3
Garza,2015-2016,0.6
Garza,2016-2017,0.6
Garza,2017-2018,0.42
Gillespie,2010-2011,1.2
Gillespie,2011-2012,1.4
Gillespie,2012-2013,1.53
Gillespie,2013-2014,1.75
Gillespie,2014-2015,1.64
Gillespie,2015-2016,1.77
Gillespie,2016-2017,2.04
Gillespie,2017-2018,2.92
Glasscock,2010-2011,0
Glasscock,2011-2012,0
Glasscock,2012-2013,0
Glasscock,2013-2014,0
Glasscock,2014-2015,0.34
Glasscock,2015-2016,0
Glasscock,2016-2017,0
Glasscock,2017-2018,1.68
Goliad,2010-2011,0.23
Goliad,2011-2012,0.16
Goliad,2012-2013,0.23
Goliad,2013-2014,0.38
Goliad,2014-2015,0.49
Goliad,2015-2016,0.46
Goliad,2016-2017,0.71
Goliad,2017-2018,0.45
Gonzales,2010-2011,0.21
Gonzales,2011-2012,0.19
Gonzales,2012-2013,0.16
Gonzales,2013-2014,0.26
Gonzales,2014-2015,0.2
Gonzales,2015-2016,0.22
Gonzales,2016-2017,0.15
Gonzales,2017-2018,0.2
Gray,2010-2011,0.23
Gray,2011-2012,0.29
Gray,2012-2013,0.21
Gray,2013-2014,0.28
Gray,2014-2015,0.28
Gray,2015-2016,0.12
Gray,2016-2017,0.3
Gray,2017-2018,0.18
Grayson,2010-2011,0.55
Grayson,2011-2012,0.63
Grayson,2012-2013,0.89
Grayson,2013-2014,0.85
Grayson,2014-2015,0.95
Grayson,2015-2016,0.97
Grayson,2016-2017,1.17
Grayson,2017-2018,1.46
Gregg,2010-2011,1.07
Gregg,2011-2012,0.69
Gregg,2012-2013,1.28
Gregg,2013-2014,0.61
Gregg,2014-2015,0.63
Gregg,2015-2016,0.95
Gregg,2016-2017,0.87
Gregg,2017-2018,1.11
Grimes,2010-2011,0.33
Grimes,2011-2012,0.42
Grimes,2012-2013,0.3
Grimes,2013-2014,0.48
Grimes,2014-2015,0.57
Grimes,2015-2016,0.61
Grimes,2016-2017,0.85
Grimes,2017-2018,0.95
Guadalupe,2010-2011,0.29
Guadalupe,2011-2012,0.49
Guadalupe,2012-2013,0.56
Guadalupe,2013-2014,0.73
Guadalupe,2014-2015,0.55
Guadalupe,2015-2016,0.68
Guadalupe,2016-2017,0.63
Guadalupe,2017-2018,0.87
Hale,2010-2011,0.19
Hale,2011-2012,0.17
Hale,2012-2013,0.2
Hale,2013-2014,0.29
Hale,2014-2015,0.28
Hale,2015-2016,0.17
Hale,2016-2017,0.4
Hale,2017-2018,0.45
Hall,2010-2011,0
Hall,2011-2012,0
Hall,2012-2013,0
Hall,2013-2014,0
Hall,2014-2015,0.21
Hall,2015-2016,0.16
Hall,2016-2017,0.61
Hall,2017-2018,0.31
Hamilton,2010-2011,1.33
Hamilton,2011-2012,1
Hamilton,2012-2013,1.79
Hamilton,2013-2014,1.05
